temps;APEG;TV;TPC
temps;Angle Pivot;Gyromètre;Consigne tangage PC
0000.003;0;4;1820
0000.024;0;2;-1820
0000.035;0;4;-1820
0000.048;-20;2;-1820
0000.067;0;4;-1820
0000.080;-20;0;-1820
0000.094;-20;2;-1820
0000.110;-20;0;-1820
0000.126;0;2;-1820
0000.142;0;4;-1820
0000.155;0;0;-1820
0000.171;0;2;-1820
0000.187;0;0;-1820
0000.203;0;4;-1820
0000.219;0;2;-1820
0000.235;0;4;-1820
0000.248;-20;2;-1820
0000.267;0;4;-1820
0000.280;0;4;-1820
0000.296;0;4;-1820
0000.312;0;4;-1820
0000.328;0;4;-1820
0000.342;-20;2;-1820
0000.358;0;2;-1820
0000.374;0;4;-1820
0000.390;0;4;-1820
0000.406;0;4;-1820
0000.422;0;4;-1820
0000.438;-20;0;-1820
0000.451;0;4;-1820
0000.467;0;4;-1820
0000.483;0;4;-1820
0000.499;0;4;-1820
0000.515;0;0;-1820
0000.528;0;2;-1820
0000.547;0;0;-1820
0000.560;0;0;-1820
0000.576;0;2;-1820
0000.592;-20;0;-1820
0000.608;0;-2;-1820
0000.624;-40;-2;-1820
0000.640;-20;-8;-1820
0000.654;-40;-8;-1820
0000.670;-60;-10;-1820
0000.686;-60;-10;-1820
0000.702;-100;-14;-1820
0000.715;-100;-14;-1820
0000.734;-140;-16;-1820
0000.747;-140;-24;-1820
0000.763;-200;-28;-1820
0000.779;-240;-32;-1820
0000.795;-280;-36;-1820
0000.811;-300;-34;-1820
0000.827;-381;-42;-1820
0000.840;-401;-42;-1820
0000.859;-461;-46;-1820
0000.872;-501;-46;-1820
0000.889;-561;-46;-1820
0000.904;-641;-46;-1820
0000.918;-701;-58;-1820
0000.934;-741;-56;-1820
0000.950;-821;-54;-1820
0000.966;-821;-54;-1820
0000.982;-881;-54;-1820
0000.998;-961;-54;-1820
0001.014;-1001;-54;-1820
0001.027;-1041;-48;-1820
0001.043;-1102;-48;-1820
0001.059;-1182;-48;-1820
0001.075;-1242;-46;-1820
0001.091;-1262;-44;-1820
0001.104;-1322;-42;-1820
0001.123;-1362;-44;-1820
0001.136;-1422;-44;-1820
0001.152;-1442;-40;-1820
0001.168;-1482;-38;-1820
0001.184;-1542;-38;-1820
0001.200;-1582;-40;-1820
0001.216;-1602;-38;-1820
0001.232;-1642;-36;-1820
0001.248;-1682;-36;-1820
0001.262;-1722;-32;-1820
0001.278;-1763;-30;-1820
0001.294;-1803;-34;-1820
0001.310;-1843;-32;-1820
0001.323;-1883;-38;-1820
0001.339;-1903;-34;-1820
0001.355;-1943;-34;-1820
0001.371;-1963;-34;-1820
0001.387;-1983;-30;-1820
0001.403;-2043;-32;-1820
0001.416;-2063;-32;-1820
0001.435;-2103;-30;-1820
0001.448;-2143;-26;-1820
0001.464;-2163;-28;-1820
0001.480;-2203;-30;-1820
0001.496;-2243;-30;-1820
0001.510;-2263;-32;-1820
0001.528;-2323;-32;-1820
0001.542;-2343;-32;-1820
0001.558;-2383;-34;-1820
0001.574;-2423;-34;-1820
