temps;APEG;TV;TPC
temps;Angle Pivot;Gyromètre;Consigne tangage PC
0000.003; 00000; 0004; 1820
0000.024; 00000; 0002;-1820
0000.035; 00000; 0004;-1820
0000.048;-00020; 0002;-1820
0000.067; 00000; 0004;-1820
0000.080;-00020; 0000;-1820
0000.094;-00020; 0002;-1820
0000.110;-00020; 0000;-1820
0000.126; 00000; 0002;-1820
0000.142; 00000; 0004;-1820
0000.155; 00000; 0000;-1820
0000.171; 00000; 0002;-1820
0000.187; 00000; 0000;-1820
0000.203; 00000; 0004;-1820
0000.219; 00000; 0002;-1820
0000.235; 00000; 0004;-1820
0000.248;-00020; 0002;-1820
0000.267; 00000; 0004;-1820
0000.280; 00000; 0004;-1820
0000.296; 00000; 0004;-1820
0000.312; 00000; 0004;-1820
0000.328; 00000; 0004;-1820
0000.342;-00020; 0002;-1820
0000.358; 00000; 0002;-1820
0000.374; 00000; 0004;-1820
0000.390; 00000; 0004;-1820
0000.406; 00000; 0004;-1820
0000.422; 00000; 0004;-1820
0000.438;-00020; 0000;-1820
0000.451; 00000; 0004;-1820
0000.467; 00000; 0004;-1820
0000.483; 00000; 0004;-1820
0000.499; 00000; 0004;-1820
0000.515; 00000; 0000;-1820
0000.528; 00000; 0002;-1820
0000.547; 00000; 0000;-1820
0000.560; 00000; 0000;-1820
0000.576; 00000; 0002;-1820
0000.592;-00020; 0000;-1820
0000.608; 00000;-0002;-1820
0000.624;-00040;-0002;-1820
0000.640;-00020;-0008;-1820
0000.654;-00040;-0008;-1820
0000.670;-00060;-0010;-1820
0000.686;-00060;-0010;-1820
0000.702;-00100;-0014;-1820
0000.715;-00100;-0014;-1820
0000.734;-00140;-0016;-1820
0000.747;-00140;-0024;-1820
0000.763;-00200;-0028;-1820
0000.779;-00240;-0032;-1820
0000.795;-00280;-0036;-1820
0000.811;-00300;-0034;-1820
0000.827;-00381;-0042;-1820
0000.840;-00401;-0042;-1820
0000.859;-00461;-0046;-1820
0000.872;-00501;-0046;-1820
0000.889;-00561;-0046;-1820
0000.904;-00641;-0046;-1820
0000.918;-00701;-0058;-1820
0000.934;-00741;-0056;-1820
0000.950;-00821;-0054;-1820
0000.966;-00821;-0054;-1820
0000.982;-00881;-0054;-1820
0000.998;-00961;-0054;-1820
0001.014;-01001;-0054;-1820
0001.027;-01041;-0048;-1820
0001.043;-01102;-0048;-1820
0001.059;-01182;-0048;-1820
0001.075;-01242;-0046;-1820
0001.091;-01262;-0044;-1820
0001.104;-01322;-0042;-1820
0001.123;-01362;-0044;-1820
0001.136;-01422;-0044;-1820
0001.152;-01442;-0040;-1820
0001.168;-01482;-0038;-1820
0001.184;-01542;-0038;-1820
0001.200;-01582;-0040;-1820
0001.216;-01602;-0038;-1820
0001.232;-01642;-0036;-1820
0001.248;-01682;-0036;-1820
0001.262;-01722;-0032;-1820
0001.278;-01763;-0030;-1820
0001.294;-01803;-0034;-1820
0001.310;-01843;-0032;-1820
0001.323;-01883;-0038;-1820
0001.339;-01903;-0034;-1820
0001.355;-01943;-0034;-1820
0001.371;-01963;-0034;-1820
0001.387;-01983;-0030;-1820
0001.403;-02043;-0032;-1820
0001.416;-02063;-0032;-1820
0001.435;-02103;-0030;-1820
0001.448;-02143;-0026;-1820
0001.464;-02163;-0028;-1820
0001.480;-02203;-0030;-1820
0001.496;-02243;-0030;-1820
0001.510;-02263;-0032;-1820
0001.528;-02323;-0032;-1820
0001.542;-02343;-0032;-1820
0001.558;-02383;-0034;-1820
0001.574;-02423;-0034;-1820
0001.590;-02444;-0030;-1820
0001.606;-02504;-0034;-1820
0001.619;-02504;-0028;-1820
0001.635;-02544;-0030;-1820
0001.651;-02564;-0028;-1820
0001.667;-02584;-0030;-1820
0001.683;-02624;-0028;-1820
0001.697;-02684;-0028;-1820
0001.712;-02704;-0030;-1820
0001.728;-02764;-0034;-1820
0001.745;-02784;-0030;-1820
0001.761;-02804;-0034;-1820
0001.777;-02824;-0030;-1820
0001.793;-02864;-0034;-1820
0001.806;-02944;-0034;-1820
0001.822;-02944;-0030;-1820
0001.841;-02984;-0030;-1820
0001.857;-03024;-0034;-1820
0001.870;-03145;-0042;-1820
0001.883;-03044;-0034;-1820
0001.899;-03124;-0036;-1820
0001.915;-03165;-0034;-1820
0001.931;-03165;-0030;-1820
0001.947;-03205;-0026;-1820
0001.963;-03225;-0026;-1820
0001.979;-03245;-0028;-1820
0001.995;-03305;-0028;-1820
0002.008;-03345;-0030;-1820
0002.027;-03385;-0026;-1820
0002.040;-03405;-0030;-1820
0002.056;-03405;-0028;-1820
0002.072;-03465;-0028;-1820
0002.088;-03465;-0024; 1820
0002.102;-03505;-0026; 1820
0002.118;-03525;-0024; 1820
0002.134;-03545;-0020; 1820
0002.150;-03545;-0016; 1820
0002.166;-03565;-0010; 1820
0002.182;-03565;-0002; 1820
0002.198;-03565; 0008; 1820
0002.214;-03545; 0012; 1820
0002.227;-03545; 0018; 1820
0002.243;-03525; 0016; 1820
0002.259;-03525; 0016; 1820
0002.273;-03485; 0016; 1820
0002.289;-03485; 0014; 1820
0002.307;-03485; 0012; 1820
0002.321;-03445; 0010; 1820
0002.337;-03485; 0008; 1820
0002.353;-03485; 0004; 1820
0002.369;-03465; 0008; 1820
