temps;MDR;TRH1;EFN
temps;Commande Moteur Droit;trs/min Droit;Effort milli N
0064.689;03685;00000; 00128
0000.019;03685;00000; 00128
0000.032;03685;00000; 00128
0000.062;05143;00000; 00128
0000.078;05143;00000; 00128
0000.094;05143;00000; 00128
0000.110;05143;00000; 00128
0000.126;05143;00000; 00128
0000.142;05143;00000; 00128
0000.158;05143;00000; 00128
0000.174;05143;00000; 00128
0000.187;05143;00000; 00137
0000.203;05143;00000; 00137
0000.216;05143;00000; 00118
0000.232;05143;00000; 00128
0000.248;05143;00000; 00128
0000.264;05143;00000; 00118
0000.280;05143;00000; 00128
0000.296;05143;16524; 00128
0000.312;05143;16524; 00118
0000.328;05143;00901; 00128
0000.342;05143;00901; 00128
0000.358;05143;01336; 00128
0000.374;05143;01728; 00128
0000.392;05143;02089; 00118
0000.408;05143;02769; 00128
0000.422;05143;03024; 00137
0000.438;05143;03431; 00137
0000.451;05143;03648; 00137
0000.467;05143;03896; 00147
0000.483;05143;04105; 00147
0000.499;05143;04257; 00157
0000.515;05143;04508; 00167
0000.528;05143;04598; 00167
0000.544;05143;04692; 00177
0000.563;05143;04998; 00177
0000.576;05143;05225; 00186
0000.592;05143;05474; 00245
0000.608;05143;05474; 00265
0000.624;05143;05607; 00265
0000.654;05143;05895; 00314
0000.672;05143;06050; 00314
0000.686;05143;06050; 00324
0000.702;05143;06050; 00353
0000.718;05143;06214; 00343
0000.734;05143;06214; 00353
0000.747;05143;06214; 00383
0000.763;05143;06214; 00383
0000.779;05143;06215; 00412
0000.795;05143;06387; 00441
0000.811;05143;06387; 00432
0000.827;05143;06388; 00451
0000.840;05143;06387; 00461
0000.856;05143;06215; 00461
0000.872;05143;06387; 00461
0000.888;05143;06387; 00490
0000.907;05143;06215; 00500
0000.920;05143;06388; 00510
0000.936;05143;06387; 00540
0000.950;05143;06388; 00540
0000.966;05143;06388; 00530
0000.982;05143;06388; 00540
0000.998;05143;06388; 00530
0001.014;05143;06388; 00520
0001.030;05143;06216; 00530
0001.043;05143;06388; 00530
0001.059;05143;06388; 00530
0001.075;05143;06388; 00549
0001.091;05143;06388; 00540
0001.107;05143;06388; 00540
0001.120;05143;06216; 00559
0001.136;05143;06388; 00540
0001.152;05143;06388; 00540
0001.168;05143;06216; 00559
0001.184;05143;06389; 00540
0001.200;05143;06388; 00530
0001.216;05143;06388; 00540
0001.232;05143;06389; 00530
0001.246;05143;06389; 00540
0001.262;05143;06389; 00540
0001.278;05143;06389; 00530
0001.294;05143;06389; 00530
0001.310;05143;06216; 00530
0001.326;05143;06389; 00500
0001.342;05143;06389; 00500
0001.371;05143;06389; 00500
0001.400;05143;06389; 00510
0001.419;05143;06389; 00510
0001.432;05143;06390; 00500
0001.448;05143;06390; 00500
0001.464;05143;06389; 00481
0001.480;05143;06390; 00481
0001.496;05143;06390; 00500
0001.512;05143;06390; 00510
0001.528;05143;06390; 00510
0001.544;05143;06390; 00510
0001.558;05143;06390; 00510
0001.574;05143;06390; 00500
0001.590;05143;06390; 00500
0001.606;05143;06217; 00490
0001.622;05143;06390; 00481
0001.635;05143;06390; 00490
0001.651;05143;06390; 00490
0001.667;05143;06390; 00500
0001.683;05143;06217; 00500
0001.699;05143;06390; 00510
0001.715;05143;06390; 00510
0001.731;05143;06390; 00510
0001.747;05143;06390; 00510
0001.763;05143;06390; 00500
0001.776;05143;06217; 00500
0001.792;05143;06218; 00510
0001.808;05143;06390; 00510
0001.824;05143;06218; 00520
0001.838;05143;06390; 00520
0001.854;05143;06390; 00520
0001.870;05143;06390; 00520
0001.886;05143;06390; 00530
0001.902;05143;06390; 00540
0001.918;05143;06218; 00520
0001.931;05143;06218; 00530
0001.947;05143;06390; 00530
0001.963;05143;06390; 00520
0001.982;05143;06391; 00520
0001.995;05143;06391; 00520
0002.011;05143;06218; 00510
0002.027;05143;06390; 00510
0002.040;05143;06390; 00510
0002.056;05143;06391; 00520
0002.072;05143;06218; 00540
0002.088;05143;06390; 00540
0002.104;05143;06218; 00540
0002.120;05143;06218; 00549
0002.136;05143;06391; 00540
0002.152;05132;06391; 00530
0002.168;05097;06219; 00540
0002.182;04972;06391; 00530
0002.198;04972;06219; 00530
0002.214;04890;06055; 00520
0002.230;04801;06054; 00510
0002.246;04712;05900; 00500
0002.259;04712;05900; 00490
0002.275;04626;05753; 00490
0002.291;04547;05478; 00481
0002.307;04487;05351; 00461
0002.323;04487;05229; 00461
0002.336;04440;05113; 00441
0002.352;04419;05002; 00422
0002.368;04419;04895; 00402
0002.384;04440;04794; 00402
0002.400;04440;04602; 00392
0002.416;04487;04512; 00392
0002.432;04547;04425; 00373
0002.448;04626;04425; 00363
0002.462;04626;04341; 00353
0002.478;04712;04341; 00343
0002.494;04801;04342; 00353
0002.510;04890;04425; 00343
0002.523;04972;04602; 00343
0002.542;04972;04696; 00343
0002.555;05043;04794; 00353
0002.571;05097;05002; 00343
0002.587;05132;05230; 00343
0002.603;05132;05479; 00343
0002.619;05132;05479; 00343
0002.635;05097;05612; 00363
0002.648;05097;05753; 00373
0002.664;05043;05753; 00363
0002.680;05043;05900; 00373
0002.696;04972;05753; 00373
0002.726;04801;05753; 00373
0002.758;04712;05612; 00373
0002.774;04626;05479; 00373
0002.790;04547;05479; 00373
0002.806;04487;05114; 00363
0002.822;04487;05002; 00363
0002.835;04440;04896; 00353
0002.851;04419;04794; 00353
0002.867;04419;04696; 00334
0002.883;04419;04512; 00314
0002.899;04440;04425; 00304
0002.915;04487;04261; 00304
0002.931;04547;04261; 00304
0002.947;04626;04184; 00304
0002.960;04626;04184; 00314
0002.976;04712;04184; 00304
0002.992;04801;04109; 00304
0003.008;04890;04262; 00304
0003.024;04890;04425; 00314
0003.040;04972;04512; 00304
0003.054;05043;04696; 00304
0003.070;05097;04794; 00304
0003.086;05132;05003; 00314
0003.102;05132;05230; 00314
0003.118;05143;05352; 00334
0003.134;05132;05480; 00343
0003.147;05097;05613; 00363
0003.166;05097;05753; 00353
0003.179;05043;05754; 00363
0003.195;04972;05753; 00363
0003.211;04801;05754; 00363
0003.224;04801;05754; 00353
0003.240;04801;05613; 00363
0003.256;04712;05480; 00363
0003.272;04626;05480; 00363
0003.288;04547;05352; 00363
0003.304;04547;05114; 00353
0003.320;04487;05114; 00363
0003.334;04440;05003; 00363
0003.350;04419;04794; 00353
0003.366;04419;04603; 00334
0003.382;04419;04512; 00334
0003.398;04440;04426; 00334
0003.427;04547;04262; 00324
0003.443;04547;04184; 00334
0003.459;04626;04184; 00324
0003.475;04712;04110; 00324
0003.491;04801;04109; 00324
0003.507;04890;04262; 00324
0003.523;04890;04342; 00314
0003.539;04972;04513; 00314
0003.552;05043;04697; 00314
0003.568;05097;04897; 00314
0003.584;05097;05004; 00304
0003.600;05132;05231; 00314
0003.616;05143;05352; 00324
0003.632;05132;05480; 00343
0003.648;05097;05614; 00343
0003.662;05097;05754; 00353
0003.678;05043;05754; 00353
0003.694;04972;05754; 00353
0003.710;04890;05902; 00373
0003.726;04890;05754; 00363
0003.739;04801;05754; 00373
0003.755;04712;05614; 00363
0003.771;04626;05480; 00363
0003.787;04547;05353; 00363
0003.803;04487;05231; 00363
0003.819;04440;05115; 00363
0003.835;04419;05004; 00373
0003.851;04419;04897; 00363
0003.864;04419;04697; 00363
0003.880;04419;04603; 00363
0003.896;04440;04426; 00343
0003.912;04487;04343; 00343
0003.928;04547;04262; 00334
0003.942;04547;04263; 00334
0003.958;04626;04185; 00334
0003.974;04712;04185; 00334
0003.990;04801;04185; 00334
0004.006;04801;04263; 00334
0004.022;04890;04343; 00334
0004.035;04972;04426; 00334
0004.051;05043;04603; 00324
0004.067;05097;04795; 00324
0004.083;05097;05004; 00334
0004.099;05132;05115; 00334
0004.112;05143;05231; 00334
0004.128;05132;05353; 00324
0004.147;05132;05615; 00334
0004.160;05097;05755; 00343
0004.176;05043;05755; 00343
0004.192;04972;05755; 00353
0004.208;04890;05755; 00343
0004.224;04890;05755; 00353
0004.238;04801;05754; 00353
0004.254;04712;05615; 00343
0004.270;04626;05615; 00353
0004.286;04626;05481; 00343
0004.302;04547;05231; 00343
0004.318;04487;05232; 00343
0004.334;04440;05004; 00353
0004.363;04419;04796; 00334
0004.379;04419;04698; 00324
0004.395;04487;04514; 00324
0004.411;04487;04427; 00314
0004.427;04547;04343; 00304
0004.440;04547;04263; 00314
0004.456;04626;04263; 00304
0004.472;04712;04185; 00304
0004.488;04801;04185; 00304
0004.504;04801;04343; 00314
0004.520;04890;04343; 00314
0004.536;04972;04514; 00314
0004.552;05043;04698; 00314
0004.566;05043;04898; 00314
