temps;TRH1;EFN
temps;trs/min Droit;Effort milli N
0056.627;00000; 00137
0000.011;00000; 00137
0000.021;00000; 00137
0000.032;00000; 00137
0000.045;00000; 00137
0000.049;00000; 00137
0000.060;00000; 00137
0000.079;00000; 00137
0000.098;00000; 00137
0000.109;00000; 00137
0000.120;00000; 00137
0000.130;00000; 00137
0000.139;00000; 00137
0000.149;00000; 00137
0000.160;00000; 00137
0000.169;00000; 00137
0000.179;01854; 00137
0000.190;01854; 00137
0000.199;01854; 00137
0000.209;01854; 00147
0000.220;01854; 00137
0000.239;03018; 00137
0000.250;03018; 00137
0000.260;03018; 00147
0000.269;03018; 00147
0000.280;00884; 00137
0000.290;00884; 00137
0000.299;01108; 00137
0000.309;01108; 00137
0000.320;01259; 00137
0000.329;01259; 00147
0000.339;01259; 00147
0000.350;01379; 00147
0000.359;01379; 00137
0000.376;01485; 00137
0000.391;01555; 00147
0000.408;01632; 00137
0000.420;01655; 00147
0000.438;01679; 00137
0000.452;01679; 00137
0000.467;01704; 00147
0000.484;01729; 00137
0000.499;01742; 00147
0000.514;01769; 00147
0000.531;01796; 00137
0000.546;01810; 00137
0000.561;01824; 00147
0000.608;01869; 00147
0000.640;01899; 00147
0000.655;01915; 00147
0000.702;01947; 00137
0000.734;01964; 00147
0000.749;01980; 00147
0000.781;01997; 00147
0000.811;01997; 00147
0000.828;02015; 00147
0000.843;02032; 00147
0000.858;02015; 00147
0000.875;02032; 00147
0000.890;02050; 00137
0000.905;02032; 00147
0000.920;02050; 00137
0000.937;02050; 00137
0000.954;02069; 00147
0000.967;02069; 00147
0000.984;02069; 00147
0000.999;02087; 00147
0001.016;02087; 00147
0001.031;02069; 00147
0001.046;02106; 00147
0001.063;02087; 00137
0001.078;02087; 00147
0001.092;02106; 00137
0001.107;02106; 00147
0001.124;02106; 00147
0001.139;02106; 00147
0001.154;02126; 00147
0001.171;02106; 00137
0001.186;02126; 00147
0001.201;02106; 00137
0001.216;02126; 00147
0001.231;02126; 00147
0001.248;02126; 00147
0001.263;02125; 00147
0001.278;02145; 00147
0001.295;02126; 00137
0001.310;02145; 00147
0001.327;02126; 00147
0001.342;02145; 00137
0001.357;02145; 00147
0001.372;02145; 00147
0001.387;02145; 00147
0001.404;02145; 00147
0001.419;02165; 00147
0001.434;02145; 00147
0001.451;02145; 00137
0001.466;02165; 00147
0001.481;02145; 00147
0001.498;02165; 00147
0001.513;02145; 00137
0001.528;02165; 00147
0001.543;02145; 00137
0001.560;02165; 00147
0001.575;02145; 00147
0001.590;02165; 00137
0001.607;02165; 00147
0001.622;02165; 00147
0001.639;02165; 00147
0001.654;02165; 00147
0001.668;02165; 00147
0001.683;02165; 00147
0001.698;02165; 00137
0001.715;02165; 00147
