;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nacelle NC10...;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;- Tableau des résultats -;;;
 n° point;Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés); n° point;Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés)
0;0,000118;0,002;0,000118;0,228;0,000118;0,004;0,000118;0,182;0,000117;0,007;0,000117;-0,202;0,00012;0,011;0,00012;-0,12;0,000123;0,016;0,000123;-0,172;0,000112;0,018;0,000112;0,082;0,000125;0,026;0,000125;-0,064;0,000116;0,036;0,000116;-0,186;0,000119;0,047;0,000119;-0,13;0,000118;0,057;0,000118;0,112;0;0,000121;0,076;0,000121;-0,162
1;0,005483;0,086;0,005483;0,23;0,006787;0,213;0,006787;0,182;0,002363;0,148;0,002363;-0,202;0,006795;0,608;0,006795;-0,121;0,002666;0,335;0,002666;-0,172;0,002722;0,427;0,002722;0,082;0,00274;0,573;0,00274;-0,065;0,002461;0,77;0,002461;-0,186;0,006851;2,562;0,006851;-0,13;0,002649;1,266;0,002649;0,112;1;0,005793;3,327;0,005793;-0,162
2;0,00954;0,15;0,00954;0,231;0,010828;0,34;0,010828;0,183;0,006435;0,404;0,006435;-0,202;0,010837;0,967;0,010837;-0,121;0,006785;0,849;0,006785;-0,173;0,006699;1,044;0,006699;0,082;0,006737;1,392;0,006737;-0,066;0,006474;1,978;0,006474;-0,187;0,010915;3,78;0,010915;-0,13;0,006703;3,018;0,006703;0,111;2;0,009862;4,728;0,009862;-0,162
3;0,013631;0,214;0,013631;0,228;0,014906;0,468;0,014906;0,183;0,010534;0,66;0,010534;-0,202;0,014949;1,326;0,014949;-0,12;0,010817;1,343;0,010817;-0,174;0,010843;1,671;0,010843;0,082;0,010814;2,188;0,010814;-0,067;0,01056;3,079;0,01056;-0,187;0,014995;4,619;0,014995;-0,129;0,010788;4,319;0,010788;0,111;3;0,013977;4,914;0,013977;-0,161
4;0,017738;0,278;0,017738;0,226;0,019005;0,596;0,019005;0,183;0,014609;0,913;0,014609;-0,202;0,019045;1,676;0,019045;-0,12;0,014923;1,832;0,014923;-0,161;0,014918;2,259;0,014918;0,11;0,01492;2,925;0,01492;-0,031;0,014638;3,977;0,014638;-0,135;0,019102;4,988;0,019102;-0,129;0,014869;4,955;0,014869;0,19;4;0,018044;3,835;0,018044;-0,161
5;0,021824;0,343;0,021824;0,222;0,023165;0,725;0,023165;0,197;0,018714;1,165;0,018714;-0,174;0,023122;2,016;0,023122;-0,059;0,018999;2,298;0,018999;-0,094;0,01902;2,813;0,01902;0,203;0,019054;3,58;0,019054;0,046;0,01874;4,618;0,01874;0,054;0,023204;4,843;0,023204;0,05;0,018971;4,828;0,018971;0,493;5;0,022145;1,756;0,022145;0,079
6;0,025939;0,407;0,025939;0,232;0,027203;0,85;0,027203;0,224;0,022818;1,414;0,022818;-0,106;0,027233;2,348;0,027233;0,068;0,023102;2,743;0,023102;0,067;0,023122;3,321;0,023122;0,426;0,023114;4,119;0,023114;0,283;0,022875;4,956;0,022875;0,484;0,027279;4,205;0,027279;0,585;0,023079;3,949;0,023079;1,139;6;0,026238;-0,775;0,026238;0,677
7;0,029996;0,47;0,029996;0,255;0,031279;0,976;0,031279;0,278;0,026897;1,658;0,026897;0,025;0,031333;2,666;0,031333;0,289;0,027185;3,157;0,027185;0,362;0,027211;3,772;0,027211;0,807;0,027213;4,543;0,027213;0,679;0,026932;4,963;0,026932;1,187;0,031384;3,131;0,031384;1,521;0,027166;2,465;0,027166;2,112;7;0,030322;-3,1;0,030322;1,692
