;;;;;;;;;;;;;;;;;;;;;;;;;;Nacelle NC10...
;500;;;;1000;;;;1500;;;;1850;;;;2000;;;;1800;;;;;- Tableau des résultats -
 n° point;Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);;
0;0,000125;20;0,000125;0,328;0,000115;20;0,000115;0,309;0,00011;20;0,00011;0,292;0,000116;20;0,000116;0,244;0,000114;20;0,000114;0,328;0,000112;20;0,000112;0,312;;
1;0,002586;20;0,002586;0,327;0,002342;20;0,002342;0,309;0,00447;20;0,00447;0,292;0,002689;20;0,002689;0,254;0,00551;20;0,00551;0,328;0,002468;20;0,002468;0,311;;
2;0,006673;20;0,006673;0,326;0,006362;20;0,006362;0,309;0,008507;20;0,008507;0,292;0,006748;20;0,006748;0,27;0,009535;20;0,009535;0,327;0,006508;20;0,006508;0,311;;
3;0,01077;20;0,01077;0,326;0,010453;20;0,010453;0,31;0,012584;20;0,012584;0,293;0,010817;20;0,010817;0,291;0,013603;20;0,013603;0,496;0,010565;20;0,010565;0,312;;
4;0,014849;20;0,014849;0,71;0,014547;20;0,014547;0,904;0,016683;20;0,016683;0,796;0,014926;20;0,014926;0,567;0,017717;20;0,017717;0,894;0,014668;20;0,014668;0,621;;
5;0,018952;20;0,018952;1,547;0,018648;20;0,018648;2,209;0,020789;20;0,020789;1,963;0,019032;20;0,019032;1,206;0,02177;20;0,02177;1,592;0,018791;20;0,018791;1,33;;
6;0,023056;20;0,023056;2,793;0,022727;20;0,022727;4,222;0,024864;20;0,024864;3,811;0,023107;20;0,023107;2,3;0,025909;20;0,025909;2,534;0,022883;20;0,022883;2,544;;
7;0,027132;20;0,027132;4,215;0,02683;20;0,02683;6,622;0,028971;20;0,028971;6,197;0,027212;20;0,027212;3,784;0,02998;20;0,02998;3,802;0,026995;20;0,026995;4,172;;
8;0,031237;20;0,031237;5,783;0,030938;20;0,030938;9,319;0,033141;20;0,033141;9,083;0,031315;20;0,031315;5,761;0,034052;20;0,034052;5,439;0,031115;20;0,031115;6,323;;
9;0,035414;20;0,035414;7,244;0,035104;20;0,035104;11,99;0,037252;20;0,037252;12,337;0,035522;20;0,035522;8,224;0,038159;20;0,038159;7,512;0,035266;20;0,035266;8,957;;
10;0,039523;20;0,039523;8,451;0,03919;20;0,03919;14,409;0,041352;20;0,041352;15,683;0,039576;20;0,039576;11,167;0,04225;20;0,04225;10,066;0,03934;20;0,03934;12,066;;
11;0,043557;20;0,043557;9,361;0,043226;20;0,043226;16,467;0,045385;20;0,045385;18,911;0,043679;20;0,043679;14,542;0,046306;20;0,046306;13,095;0,043378;20;0,043378;15,544;;
12;0,04763;20;0,04763;9,898;0,047308;20;0,047308;17,906;0,049431;20;0,049431;21,691;0,047703;20;0,047703;18,148;0,05041;20;0,05041;16,511;0,047481;20;0,047481;19,133;;
13;0,051663;20;0,051663;10,034;0,05142;20;0,05142;18,643;0,053505;20;0,053505;23,905;0,051804;20;0,051804;21,752;0,054531;20;0,054531;20,119;0,051567;20;0,051567;22,593
14;0,055786;20;0,055786;9,764;0,055522;20;0,055522;18,66;0,057629;20;0,057629;25,234;0,055903;20;0,055903;25,041;0,058598;20;0,058598;23,713;0,055643;20;0,055643;25,623
15;0,059866;20;0,059866;9,201;0,059534;20;0,059534;18,093;0,061708;20;0,061708;25,82;0,059988;20;0,059988;27,811;0,062707;20;0,062707;26,997;0,059698;20;0,059698;28,073
16;0,063945;20;0,063945;8,356;0,063644;20;0,063644;16,985;0,065785;20;0,065785;25,584;0,064114;20;0,064114;29,76;0,066787;20;0,066787;29,704;0,063776;20;0,063776;29,61
17;0,068046;20;0,068046;7,36;0,067743;20;0,067743;15,531;0,069859;20;0,069859;24,712;0,06811;20;0,06811;30,888;0,070889;20;0,070889;31,687;0,067882;20;0,067882;30,361
18;0,07215;20;0,07215;6,281;0,07182;20;0,07182;13,864;0,073994;20;0,073994;23,249;0,072212;20;0,072212;31,171;0,074993;20;0,074993;32,828;0,071987;20;0,071987;30,284
19;0,076257;20;0,076257;5,284;0,075925;20;0,075925;12,218;0,07805;20;0,07805;21,422;0,076311;20;0,076311;30,722;0,07907;20;0,07907;33,14;0,076072;20;0,076072;29,501
20;0,080325;20;0,080325;4,477;0,080003;20;0,080003;10,741;0,082152;20;0,082152;19,436;0,08039;20;0,08039;29,598;0,083173;20;0,083173;32,623;0,080174;20;0,080174;28,096
21;0,084421;20;0,084421;3,947;0,084108;20;0,084108;9,517;0,086255;20;0,086255;17,395;0,084494;20;0,084494;27,903;0,087279;20;0,087279;31,418;0,084352;20;0,084352;26,213
22;0,088523;20;0,088523;3,696;0,088256;20;0,088256;8,623;0,090365;20;0,090365;15,528;0,0886;20;0,0886;25,79;0,091362;20;0,091362;29,694;0,088427;20;0,088427;24,078
23;0,09263;20;0,09263;3,746;0,092364;20;0,092364;8,18;0,094445;20;0,094445;13,825;0,092686;20;0,092686;23,5;0,095461;20;0,095461;27,592;0,092536;20;0,092536;21,835
24;0,096708;20;0,096708;4,027;0,096469;20;0,096469;8,071;0,098544;20;0,098544;12,651;0,096804;20;0,096804;21,196;0,099564;20;0,099564;25,324;0,096639;20;0,096639;19,717
25;0,100811;20;0,100811;4,488;0,100517;20;0,100517;8,258;0,102648;20;0,102648;11,872;0,100944;20;0,100944;19,07;0,103672;20;0,103672;23,051;0,100717;20;0,100717;17,839
26;0,104888;20;0,104888;5,07;0,10459;20;0,10459;8,687;0,106728;20;0,106728;11,573;0,105052;20;0,105052;17,294;0,107762;20;0,107762;21,009;0,10482;20;0,10482;16,362
27;0,108992;20;0,108992;5,724;0,108696;20;0,108696;9,323;0,110832;20;0,110832;11,713;0,109155;20;0,109155;15,964;0,111835;20;0,111835;19,236;0,108923;20;0,108923;15,358
28;0,113101;20;0,113101;6,391;0,112801;20;0,112801;9,979;0,114908;20;0,114908;12,173;0,113231;20;0,113231;15,15;0,116745;20;0,116745;17,885;0,11299;20;0,11299;14,838
29;0,117175;20;0,117175;6,984;0,116879;20;0,116879;10,687;0,119022;20;0,119022;12,907;0,11727;20;0,11727;14,765;0,120032;20;0,120032;17,037;0,117077;20;0,117077;14,713
30;0,121289;20;0,121289;7,438;0,120982;20;0,120982;11,438;0,123103;20;0,123103;13,737;0,121361;20;0,121361;14,878;0,124159;20;0,124159;16,68;0,121121;20;0,121121;15,025
31;0,125358;20;0,125358;7,69;0,12507;20;0,12507;12,189;0,127203;20;0,127203;14,821;0,125436;20;0,125436;15,298;0,128235;20;0,128235;16,779;0,125224;20;0,125224;15,552
32;0,129474;20;0,129474;7,744;0,129159;20;0,129159;12,877;0,131307;20;0,131307;15,886;0,129597;20;0,129597;16,11;0,132339;20;0,132339;17,204;0,12933;20;0,12933;16,339
33;0,133574;20;0,133574;7,552;0,133244;20;0,133244;13,367;0,135386;20;0,135386;17,041;0,133628;20;0,133628;17,012;0,136419;20;0,136419;17,994;0,133413;20;0,133413;17,177
34;0,137654;20;0,137654;7,177;0,137363;20;0,137363;13,746;0,139491;20;0,139491;17,926;0,137735;20;0,137735;18,139;0,140526;20;0,140526;18,827;0,137514;20;0,137514;18,238
35;0,141777;20;0,141777;6,676;0,141461;20;0,141461;13,883;0,143594;20;0,143594;18,75;0,141835;20;0,141835;19,387;0,144682;20;0,144682;19,793;0,141616;20;0,141616;19,34
36;0,145874;20;0,145874;6,128;0,145561;20;0,145561;13,849;0,147698;20;0,147698;19,242;0,145932;20;0,145932;20,68;0,148714;20;0,148714;20,861;0,145776;20;0,145776;20,483
37;0,149976;20;0,149976;5,6;0,149653;20;0,149653;13,6;0,151777;20;0,151777;19,486;0,15003;20;0,15003;21,89;0,152883;20;0,152883;21,993;0,149862;20;0,149862;21,455
38;0,154055;20;0,154055;5,181;0,153808;20;0,153808;13,263;0,155908;20;0,155908;19,39;0,154134;20;0,154134;22,961;0,156986;20;0,156986;23,103;0,153965;20;0,153965;22,336
39;0,158175;20;0,158175;4,921;0,157935;20;0,157935;12,819;0,159992;20;0,159992;19,035;0,158233;20;0,158233;23,826;0,161063;20;0,161063;24,036;0,158151;20;0,158151;22,97
40;0,162269;20;0,162269;4,837;0,161961;20;0,161961;12,37;0,164072;20;0,164072;18,52;0,162316;20;0,162316;24,342;0,165169;20;0,165169;24,777;0,162094;20;0,162094;23,367
