Position [a2] de Rotule2 % Position [a2] de Généralisée1
a2(rad) / a2(rad)
a2(rad)      a2(rad)     
-0.349066 0.897578
-0.342085 0.882300
-0.335103 0.866903
-0.328122 0.851384
-0.321141 0.835744
-0.314159 0.819981
-0.307178 0.804094
-0.300197 0.788083
-0.293215 0.771948
-0.286234 0.755686
-0.279253 0.739299
-0.272271 0.722786
-0.265290 0.706147
-0.258309 0.689382
-0.251327 0.672491
-0.244346 0.655475
-0.237365 0.638334
-0.230383 0.621068
-0.223402 0.603679
-0.216421 0.586169
-0.209440 0.568537
-0.202458 0.550786
-0.195477 0.532918
-0.188496 0.514934
-0.181514 0.496838
-0.174533 0.478630
-0.167552 0.460314
-0.160570 0.441894
-0.153589 0.423371
-0.146608 0.404751
-0.139626 0.386036
-0.132645 0.367230
-0.125664 0.348339
-0.118682 0.329366
-0.111701 0.310317
-0.104720 0.291196
-0.097738 0.272009
-0.090757 0.252762
-0.083776 0.233460
-0.076794 0.214110
-0.069813 0.194718
-0.062832 0.175290
-0.055851 0.155833
-0.048869 0.136355
-0.041888 0.116861
-0.034907 0.097360
-0.027925 0.077859
-0.020944 0.058364
-0.013963 0.038885
-0.006981 0.019427
0.000000 0.000000
0.006981 -0.019390
0.013963 -0.038734
0.020944 -0.058025
0.027925 -0.077256
0.034907 -0.096419
0.041888 -0.115506
0.048869 -0.134510
0.055851 -0.153425
0.062832 -0.172242
0.069813 -0.190955
0.076794 -0.209557
0.083776 -0.228042
0.090757 -0.246403
0.097738 -0.264635
0.104720 -0.282732
0.111701 -0.300688
0.118682 -0.318498
0.125664 -0.336156
0.132645 -0.353659
0.139626 -0.371002
0.146608 -0.388180
0.153589 -0.405190
0.160570 -0.422028
0.167552 -0.438691
0.174533 -0.455176
0.181514 -0.471481
0.188496 -0.487602
0.195477 -0.503538
0.202458 -0.519288
0.209440 -0.534848
0.216421 -0.550219
0.223402 -0.565399
0.230383 -0.580386
0.237365 -0.595182
0.244346 -0.609784
0.251327 -0.624194
0.258309 -0.638411
0.265290 -0.652435
0.272271 -0.666266
0.279253 -0.679907
0.286234 -0.693356
0.293215 -0.706615
0.300197 -0.719686
0.307178 -0.732569
0.314159 -0.745265
0.321141 -0.757777
0.328122 -0.770105
0.335103 -0.782251
0.342085 -0.794218
0.349066 -0.806006

Valeur mini ordonnée    = -0.806006
Valeur maxi ordonnée    = 0.897578
