Position analogique;Consigne vitesse - Epaule;Consigne position - Epaule;Consigne vitesse - Coude;Consigne position - Coude;Consigne vitesse - Inc. Poignet;Consigne position - Inc. Poignet
PL00_066.CRB;CE00_066.CRB;CE01_066.CRB;CC00_066.CRB;CC01_066.CRB;CI00_066.CRB;CI01_066.CRB
39.780000;39.780000;39.780000;39.780000;39.780000;39.780000;39.780000
mm;deg./s;deg.;deg./s;deg.;deg./s;deg.
58,121835;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
58,109190;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
58,172430;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
58,147133;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
58,172430;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
58,121835;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
58,147133;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
58,172430;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
58,185075;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
58,159777;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
58,185075;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
58,185075;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
58,172430;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
58,172430;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
58,172430;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
58,197720;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
58,109190;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
58,147133;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
58,147133;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
58,159777;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
58,121835;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
58,172430;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
58,147133;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
58,134487;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
58,134487;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
58,147133;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
58,134487;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
58,134487;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
58,159777;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
58,147133;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
58,147133;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
58,134487;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
58,147133;0,000000;11,904947;0,000000;-45,574447;0,000000;33,669500
58,121835;-0,158220;11,903164;0,403962;-45,569877;-0,248400;33,666700
58,159777;-0,727920;11,887282;1,865596;-45,529168;-1,144800;33,641752
