Temps(s)	d1(m)	en rad	en deg	en pas	deplacement	pas arrondi	sens
0	-0,00965	-1,93	-110,5808545	-61,43380803	-61,43380803	61	0
0,005	-0,008835	-1,767	-101,2416424	-56,24535689	5,188451145	5	1
0,01	-0,008025	-1,605	-91,95972612	-51,08873673	5,156620156	5	1
0,015	-0,007222	-1,4444	-82,75802393	-45,97667996	5,112056772	5	1
0,02	-0,006427	-1,2854	-73,64799499	-40,91555277	5,06112719	5	1
0,025	-0,005639	-1,1278	-64,61818013	-35,89898896	5,016563806	5	1
0,03	-0,00486	-0,972	-55,69149769	-30,93972094	4,959268027	5	1
0,035	-0,00409	-0,818	-46,86794764	-26,03774869	4,901972247	5	1
0,04	-0,00333	-0,666	-38,15898916	-21,19943842	4,83831027	5	1
0,045	-0,00258	-0,516	-29,56462223	-16,42479013	4,774648293	5	1
0,05	-0,001841	-0,3682	-21,09630602	-11,72017001	4,704620118	5	1
0,055	-0,001114	-0,2228	-12,76549968	-7,091944264	4,628225745	5	1
0,06	-0,000398	-0,0796	-4,560744049	-2,533746694	4,55819757	5	1
0,065	0,000304	0,0608	3,483583394	1,935324108	4,469070802	4	1
0,07	0,000994	0,1988	11,39040097	6,328000537	4,392676429	4	1
0,075	0,001671	0,3342	19,14824951	10,6379164	4,309915859	4	1
0,08	0,002333	0,4666	26,73421072	14,85233929	4,214422893	4	1
0,085	0,002981	0,5962	34,15974375	18,97763541	4,125296125	4	1
0,09	0,003614	0,7228	41,41338943	23,00743857	4,029803159	4	1
0,095	0,004232	0,8464	48,49514778	26,94174877	3,934310193	4	1
0,1	0,004835	0,967	55,40501879	30,78056599	3,838817227	4	1
0,105	0,005421	1,0842	62,12008415	34,51115786	3,730591866	4	1
0,11	0,005991	1,1982	68,65180301	38,13989056	3,628732702	4	1
0,115	0,006544	1,3088	74,98871623	41,6603979	3,520507341	4	1
0,12	0,00708	1,416	81,13082379	45,07267988	3,41228198	3	1
0,125	0,007599	1,5198	87,0781257	48,3767365	3,304056619	3	1
0,13	0,008099	1,6198	92,80770366	51,55983536	3,183098862	3	1
0,135	0,008582	1,7164	98,34247596	54,63470886	3,074873501	3	1
0,14	0,009046	1,8092	103,6595243	57,58862461	2,953915744	3	1
0,145	0,009492	1,8984	108,7703078	60,42794879	2,839324185	3	1
0,15	0,009919	1,9838	113,6633674	63,14631522	2,718366428	3	1
0,155	0,010326	2,0652	118,3272439	65,73735769	2,591042474	3	1
0,16	0,010715	2,143	122,7848555	68,21380861	2,476450915	2	1
0,165	0,011083	2,2166	127,0018249	70,55656937	2,342760762	2	1
0,17	0,011432	2,2864	131,0010703	72,77837238	2,221803006	2	1
0,175	0,011761	2,3522	134,7711326	74,87285143	2,094479051	2	1
0,18	0,012069	2,4138	138,3005526	76,83364033	1,960788899	2	1
0,185	0,012357	2,4714	141,6007895	78,66710527	1,833464944	2	1
0,19	0,012624	2,5248	144,6603841	80,36688006	1,699774792	2	1
0,195	0,012871	2,5742	147,4907956	81,9393309	1,572450838	2	1
