;;;;;;Nacelle NC10...
;;;;;;- Tableau des résultats -
 n° point;Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);
0;    0,000121;    0,076000;    0,000121;   -0,162000;
1;    0,005793;    3,327000;    0,005793;   -0,162000;
2;    0,009862;    4,728000;    0,009862;   -0,162000;
3;    0,013977;    4,914000;    0,013977;   -0,161000;
4;    0,018044;    3,835000;    0,018044;   -0,161000;
5;    0,022145;    1,756000;    0,022145;    0,079000;
6;    0,026238;   -0,775000;    0,026238;    0,677000;
7;    0,030322;   -3,100000;    0,030322;    1,692000;
8;    0,034425;   -4,631000;    0,034425;    2,877000;
9;    0,038511;   -4,960000;    0,038511;    3,975000;
10;    0,042618;   -4,001000;    0,042618;    4,674000;
11;    0,046641;   -2,048000;    0,046641;    4,812000;
12;    0,050745;    0,467000;    0,050745;    4,331000;
13;    0,054870;    2,872000;    0,054870;    3,256000;
14;    0,058963;    4,514000;    0,058963;    1,756000;
15;    0,063107;    4,985000;    0,063107;    0,000000;
16;    0,067171;    4,163000;    0,067171;   -1,624000;
17;    0,071255;    2,267000;    0,071255;   -2,822000;
18;    0,075335;   -0,210000;    0,075335;   -3,330000;
19;    0,079437;   -2,645000;    0,079437;   -3,122000;
20;    0,083517;   -4,387000;    0,083517;   -2,308000;
21;    0,087621;   -4,999000;    0,087621;   -1,106000;
22;    0,091728;   -4,311000;    0,091728;    0,078000;
23;    0,095797;   -2,520000;    0,095797;    0,991000;
24;    0,099901;   -0,062000;    0,099901;    1,355000;
25;    0,103980;    2,398000;    0,103980;    1,143000;
26;    0,108084;    4,250000;    0,108084;    0,464000;
27;    0,112201;    4,996000;    0,112201;   -0,419000;
28;    0,116275;    4,448000;    0,116275;   -1,328000;
29;    0,120388;    2,738000;    0,120388;   -1,866000;
30;    0,124553;    0,281000;    0,124553;   -1,940000;
31;    0,128579;   -2,174000;    0,128579;   -1,399000;
32;    0,132669;   -4,107000;    0,132669;   -0,362000;
33;    0,136744;   -4,977000;    0,136744;    0,983000;
34;    0,140849;   -4,564000;    0,140849;    2,217000;
35;    0,144950;   -2,964000;    0,144950;    3,074000;
36;    0,149061;   -0,589000;    0,149061;    3,376000;
37;    0,153176;    1,943000;    0,153176;    2,967000;
38;    0,157276;    3,961000;    0,157276;    2,061000;
39;    0,161331;    4,946000;    0,161331;    0,752000;
40;    0,165435;    4,664000;    0,165435;   -0,533000;
41;    0,169541;    3,167000;    0,169541;   -1,607000;
42;    0,173645;    0,847000;    0,173645;   -2,124000;
43;    0,177724;   -1,678000;    0,177724;   -2,071000;
44;    0,181827;   -3,782000;    0,181827;   -1,460000;
45;    0,185916;   -4,901000;    0,185916;   -0,495000;
46;    0,190004;   -4,755000;    0,190004;    0,582000;
47;    0,194165;   -3,346000;    0,194165;    1,471000;
48;    0,198198;   -1,123000;    0,198198;    1,901000;
49;    0,202298;    1,424000;    0,202298;    1,806000;
50;    0,206402;    3,603000;    0,206402;    1,179000;
51;    0,210495;    4,842000;    0,210495;    0,260000;
52;    0,214634;    4,821000;    0,214634;   -0,807000;
53;    0,218745;    3,538000;    0,218745;   -1,663000;
54;    0,222771;    1,382000;    0,222771;   -2,079000;
55;    0,226869;   -1,164000;    0,226869;   -1,926000;
56;    0,230950;   -3,400000;    0,230950;   -1,237000;
57;    0,235056;   -4,766000;    0,235056;   -0,136000;
58;    0,239158;   -4,892000;    0,239158;    1,074000;
59;    0,243242;   -3,754000;    0,243242;    2,025000;
60;    0,247354;   -1,632000;    0,247354;    2,489000;
61;    0,251426;    0,891000;    0,251426;    2,352000;
62;    0,255524;    3,199000;    0,255524;    1,680000;
63;    0,259610;    4,674000;    0,259610;    0,592000;
64;    0,263713;    4,942000;    0,263713;   -0,597000;
65;    0,267790;    3,935000;    0,267790;   -1,667000;
66;    0,271896;    1,901000;    0,271896;   -2,280000;
67;    0,275999;   -0,626000;    0,275999;   -2,266000;
68;    0,280077;   -2,978000;    0,280077;   -1,650000;
69;    0,284191;   -4,574000;    0,284191;   -0,563000;
70;    0,288268;   -4,977000;    0,288268;    0,677000;
71;    0,292377;   -4,090000;    0,292377;    1,854000;
72;    0,296450;   -2,158000;    0,296450;    2,557000;
73;    0,300555;    0,349000;    0,300555;    2,756000;
74;    0,304661;    2,764000;    0,304661;    2,302000;
75;    0,306682;    3,722000;    0,306682;    1,422000;
76;    0,309665;    4,686000;    0,309665;    0,252000;
77;    0,316946;    4,240000;    0,316946;   -0,878000;
78;    0,318968;    3,437000;    0,318968;   -1,598000;
79;    0,321949;    1,871000;    0,321949;   -1,789000;
80;    0,325158;   -0,099000;    0,325158;   -1,394000;
81;    0,329215;   -2,526000;    0,329215;   -0,676000;
82;    0,333320;   -4,326000;    0,333320;    0,348000;
83;    0,337423;   -5,000000;    0,337423;    1,263000;
84;    0,341504;   -4,380000;    0,341504;    1,865000;
85;    0,345606;   -2,623000;    0,345606;    1,948000;
86;    0,349712;   -0,181000;    0,349712;    1,558000;
87;    0,353789;    2,292000;    0,353789;    0,692000;
88;    0,357910;    4,191000;    0,357910;   -0,411000;
89;    0,361998;    4,990000;    0,361998;   -1,460000;
90;    0,366074;    4,504000;    0,366074;   -2,181000;
91;    0,370180;    2,847000;    0,370180;   -2,320000;
92;    0,374280;    0,452000;    0,374280;   -1,795000;
93;    0,378381;   -2,061000;    0,378381;   -0,740000;
94;    0,382486;   -4,040000;    0,382486;    0,612000;
95;    0,386571;   -4,966000;    0,386571;    1,959000;
96;    0,390668;   -4,609000;    0,390668;    2,909000;
97;    0,394774;   -3,053000;    0,394774;    3,256000;
98;    0,398844;   -0,724000;    0,398844;    2,937000;
99;    0,402950;    1,812000;    0,402950;    2,051000;
100;    0,407022;    3,861000;    0,407022;    0,785000;
