;;;;;;Nacelle NC10...
;;;;;;- Tableau des résultats -
 n° point;Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);
0;    0,000128;    0,002000;    0,000128;   -0,932000;
1;    0,005385;    0,085000;    0,005385;   -0,931000;
2;    0,009443;    0,148000;    0,009443;   -0,931000;
3;    0,013522;    0,212000;    0,013522;   -0,931000;
4;    0,017628;    0,277000;    0,017628;   -0,931000;
5;    0,021751;    0,341000;    0,021751;   -0,932000;
6;    0,025833;    0,405000;    0,025833;   -0,932000;
7;    0,029910;    0,469000;    0,029910;   -0,920000;
8;    0,034091;    0,534000;    0,034091;   -0,897000;
9;    0,038177;    0,598000;    0,038177;   -0,862000;
10;    0,042333;    0,663000;    0,042333;   -0,812000;
11;    0,046324;    0,725000;    0,046324;   -0,747000;
12;    0,050396;    0,788000;    0,050396;   -0,673000;
13;    0,054433;    0,851000;    0,054433;   -0,591000;
14;    0,058508;    0,914000;    0,058508;   -0,503000;
15;    0,062608;    0,977000;    0,062608;   -0,414000;
16;    0,066717;    1,040000;    0,066717;   -0,321000;
17;    0,070822;    1,103000;    0,070822;   -0,225000;
18;    0,074895;    1,166000;    0,074895;   -0,122000;
19;    0,078977;    1,228000;    0,078977;   -0,021000;
20;    0,083079;    1,290000;    0,083079;    0,075000;
21;    0,087187;    1,352000;    0,087187;    0,155000;
22;    0,091272;    1,414000;    0,091272;    0,233000;
23;    0,095374;    1,476000;    0,095374;    0,307000;
24;    0,099479;    1,537000;    0,099479;    0,376000;
25;    0,103583;    1,599000;    0,103583;    0,442000;
26;    0,107659;    1,659000;    0,107659;    0,507000;
27;    0,111773;    1,720000;    0,111773;    0,567000;
28;    0,115854;    1,780000;    0,115854;    0,626000;
29;    0,119951;    1,840000;    0,119951;    0,689000;
30;    0,124055;    1,900000;    0,124055;    0,751000;
31;    0,128232;    1,960000;    0,128232;    0,807000;
32;    0,132254;    2,018000;    0,132254;    0,863000;
33;    0,136351;    2,077000;    0,136351;    0,920000;
34;    0,140428;    2,135000;    0,140428;    0,974000;
35;    0,144533;    2,193000;    0,144533;    1,036000;
36;    0,148634;    2,251000;    0,148634;    1,102000;
37;    0,152712;    2,308000;    0,152712;    1,171000;
38;    0,156823;    2,365000;    0,156823;    1,236000;
39;    0,160923;    2,421000;    0,160923;    1,302000;
40;    0,164998;    2,477000;    0,164998;    1,358000;
41;    0,169101;    2,533000;    0,169101;    1,403000;
42;    0,173193;    2,588000;    0,173193;    1,442000;
43;    0,177294;    2,643000;    0,177294;    1,473000;
44;    0,181398;    2,698000;    0,181398;    1,498000;
45;    0,185478;    2,751000;    0,185478;    1,511000;
46;    0,189587;    2,805000;    0,189587;    1,516000;
47;    0,193683;    2,858000;    0,193683;    1,508000;
48;    0,197761;    2,910000;    0,197761;    1,494000;
49;    0,201875;    2,963000;    0,201875;    1,480000;
50;    0,205978;    3,014000;    0,205978;    1,473000;
51;    0,210075;    3,065000;    0,210075;    1,474000;
