;;;;;;;;;;;;;;;;;;Nacelle NC10...
;;;;;;;;;;;;;;;;;;- Tableau des résultats -
 n° point;Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);
0;    0,000132;   20,000000;    0,000132;   -0,170000;    0,000119;   20,000000;    0,000119;   -0,036000;    0,000118;   20,000000;    0,000118;   -0,038000;    0,000120;   20,000000;    0,000120;   -0,666000;
1;    0,006705;   20,000000;    0,006705;   -0,172000;    0,001387;   20,000000;    0,001387;   -0,034000;    0,006502;   20,000000;    0,006502;   -0,038000;    0,006718;   20,000000;    0,006718;   -0,666000;
2;    0,010742;   20,000000;    0,010742;   -0,175000;    0,005330;   20,000000;    0,005330;   -0,032000;    0,010538;   20,000000;    0,010538;   -0,038000;    0,008715;   20,000000;    0,008715;   -0,667000;
3;    0,014847;   20,000000;    0,014847;    0,126000;    0,009426;   20,000000;    0,009426;   -0,032000;    0,014611;   20,000000;    0,014611;    0,267000;    0,014866;   20,000000;    0,014866;   -0,611000;
4;    0,018952;   20,000000;    0,018952;    0,784000;    0,013523;   20,000000;    0,013523;    0,462000;    0,018721;   20,000000;    0,018721;    1,002000;    0,016875;   20,000000;    0,016875;   -0,481000;
5;    0,023065;   20,000000;    0,023065;    1,775000;    0,017603;   20,000000;    0,017603;    1,563000;    0,022801;   20,000000;    0,022801;    2,234000;    0,023041;   20,000000;    0,023041;   -0,257000;
6;    0,027131;   20,000000;    0,027131;    2,941000;    0,021705;   20,000000;    0,021705;    3,276000;    0,026894;   20,000000;    0,026894;    3,864000;    0,025038;   20,000000;    0,025038;    0,038000;
7;    0,031197;   20,000000;    0,031197;    4,207000;    0,025809;   20,000000;    0,025809;    5,356000;    0,030967;   20,000000;    0,030967;    5,974000;    0,028016;   20,000000;    0,028016;    0,441000;
8;    0,035322;   20,000000;    0,035322;    5,381000;    0,029892;   20,000000;    0,029892;    7,756000;    0,035107;   20,000000;    0,035107;    8,549000;    0,031194;   20,000000;    0,031194;    0,977000;
9;    0,039429;   20,000000;    0,039429;    6,432000;    0,033997;   20,000000;    0,033997;   10,221000;    0,039211;   20,000000;    0,039211;   11,584000;    0,035328;   20,000000;    0,035328;    1,689000;
