Temps,Ecart,I moteur,Mesure,vitesse,accélération,position,U moteur,Consigne,Sortie Reg.,S. Action P.
s,mm/s,mA,mm/s,mm/s,mm/s²,mm,V,mm/s,inc,mm/s
0.000,0.000,-4.395,0.000,0.000,0.000,25.818,0.315,0.000,0.000,0.000
0.010,0.000,-9.277,0.000,0.000,0.000,25.818,0.163,0.000,0.000,0.000
0.020,0.000,2.930,0.000,0.000,0.000,25.818,-0.336,0.000,0.000,0.000
0.030,0.000,9.277,0.000,0.000,0.000,25.818,-0.033,0.000,0.000,0.000
0.040,0.000,-33.691,0.000,0.000,0.000,25.818,0.532,0.000,0.000,0.000
0.050,0.000,7.813,0.000,0.000,0.000,25.818,-0.217,0.000,0.000,0.000
0.060,0.000,8.789,0.000,0.000,0.000,25.818,-0.282,0.000,0.000,0.000
0.070,0.000,-19.043,0.000,0.000,0.000,25.818,0.369,0.000,0.000,0.000
0.080,0.000,-20.508,0.000,0.000,0.000,25.818,-0.098,0.000,0.000,0.000
0.090,0.000,22.949,0.000,0.000,0.000,25.818,-0.553,0.000,0.000,0.000
0.100,99.915,526.367,4.884,4.884,100.021,25.851,4.601,99.915,1023.000,199.829
0.110,95.031,532.715,12.935,12.935,264.921,25.967,6.890,99.915,1023.000,190.062
0.120,86.980,547.363,21.250,21.250,435.228,26.162,8.453,99.915,1023.000,173.960
0.130,78.665,542.969,29.565,29.565,505.513,26.438,10.449,99.915,1023.000,157.329
0.140,70.349,546.387,37.880,37.880,610.941,26.797,12.294,99.915,1023.000,140.699
0.150,62.034,513.184,45.932,45.932,670.413,27.234,13.628,99.915,940.000,124.068
0.160,53.983,448.242,52.663,52.663,643.380,27.739,14.670,99.915,818.000,107.966
0.170,47.252,401.367,58.734,58.734,597.425,28.304,15.517,99.915,716.000,94.503
0.180,41.180,352.539,63.618,63.618,532.546,28.919,16.309,99.915,624.000,82.360
0.190,36.297,310.059,67.842,67.842,475.777,29.575,16.949,99.915,550.000,72.593
0.200,32.073,288.574,71.273,71.273,394.679,30.267,17.567,99.915,486.000,64.146
0.210,28.641,260.254,74.441,74.441,346.020,30.990,17.969,99.915,434.000,57.283
0.220,25.474,240.723,76.949,76.949,286.548,31.737,18.555,99.915,386.000,50.947
