Temps,vitesse,I moteur,Ecart,Consigne
s,mm/s,mA,mm/s,mm/s
0.000,0.000,-5.371,0.000,0.000
0.010,0.000,4.395,0.000,0.000
0.020,0.000,5.859,0.000,0.000
0.030,0.000,-5.371,0.000,0.000
0.040,0.000,-9.766,0.000,0.000
0.050,0.000,4.883,0.000,0.000
0.060,0.000,3.906,0.000,0.000
0.070,0.000,-22.461,0.000,0.000
0.080,0.000,-3.418,0.000,0.000
0.090,0.000,-16.113,0.000,0.000
0.100,3.300,379.395,99.915,99.915
0.110,8.315,350.098,96.615,99.915
0.120,12.935,351.563,91.599,99.915
0.130,17.422,313.477,86.980,99.915
0.140,21.646,303.223,82.492,99.915
0.150,25.078,292.480,78.269,99.915
0.160,28.245,274.414,74.837,99.915
0.170,31.413,260.742,71.669,99.915
0.180,34.449,251.465,68.502,99.915
0.190,37.220,247.070,65.466,99.915
0.200,39.464,235.840,62.694,99.915
0.210,41.708,222.656,60.450,99.915
0.220,43.952,213.379,58.207,99.915
0.230,45.800,203.125,55.963,99.915
0.240,47.516,198.242,54.115,99.915
0.250,49.363,190.918,52.399,99.915
0.260,50.551,191.406,50.551,99.915
0.270,51.871,182.129,49.363,99.915
0.280,53.191,175.293,48.043,99.915
0.290,54.511,173.340,46.724,99.915
0.300,55.567,170.898,45.404,99.915
0.310,56.491,170.898,44.348,99.915
0.320,57.547,159.668,43.424,99.915
0.330,58.339,156.250,42.368,99.915
0.340,59.130,151.855,41.576,99.915
0.350,59.658,145.020,40.784,99.915
0.360,60.582,145.508,40.256,99.915
0.370,61.110,140.625,39.332,99.915
0.380,61.770,143.066,38.804,99.915
0.390,62.166,142.578,38.144,99.915
0.400,62.694,138.672,37.748,99.915
0.410,63.222,134.766,37.220,99.915
0.420,63.618,137.207,36.693,99.915
0.430,64.146,133.301,36.297,99.915
0.440,64.410,134.277,35.769,99.915
0.450,64.806,129.883,35.505,99.915
0.460,65.070,132.813,35.109,99.915
0.470,65.466,132.813,34.845,99.915
0.480,65.730,123.535,34.449,99.915
0.490,66.126,122.070,34.185,99.915
0.500,66.390,125.488,33.789,99.915
0.510,66.522,124.512,33.525,99.915
0.520,66.918,120.117,33.393,99.915
0.530,67.314,121.582,32.997,99.915
0.540,66.918,101.074,32.601,99.915
0.550,67.050,121.582,32.997,99.915
0.560,67.314,127.441,32.865,99.915
0.570,67.446,119.629,32.601,99.915
0.580,67.578,118.652,32.469,99.915
0.590,67.710,123.047,32.337,99.915
0.600,67.974,121.582,32.205,99.915
0.610,67.974,118.652,31.941,99.915
0.620,68.238,125.000,31.941,99.915
0.630,68.370,119.141,31.677,99.915
0.640,68.502,116.699,31.545,99.915
0.650,68.634,120.605,31.413,99.915
0.660,68.766,110.352,31.281,99.915
0.670,68.766,112.793,31.149,99.915
0.680,68.898,115.723,31.149,99.915
0.690,69.030,112.793,31.017,99.915
0.700,69.293,110.352,30.885,99.915
0.710,69.161,111.328,30.621,99.915
0.720,69.161,113.770,30.753,99.915
0.730,69.293,113.281,30.753,99.915
0.740,69.425,111.328,30.621,99.915
0.750,69.557,114.258,30.489,99.915
0.760,69.689,114.258,30.357,99.915
0.770,69.689,113.770,30.225,99.915
0.780,69.689,107.422,30.225,99.915
0.790,69.821,114.258,30.225,99.915
0.800,69.953,112.793,30.093,99.915
0.810,70.085,108.887,29.961,99.915
0.820,69.953,108.398,29.829,99.915
0.830,70.085,112.793,29.961,99.915
0.840,70.085,107.910,29.829,99.915
0.850,70.085,109.375,29.829,99.915
0.860,70.085,111.816,29.829,99.915
0.870,70.217,114.746,29.829,99.915
0.880,70.613,110.840,29.697,99.915
0.890,70.745,98.633,29.301,99.915
0.900,70.613,105.469,29.169,99.915
0.910,70.481,108.887,29.301,99.915
0.920,70.481,108.398,29.433,99.915
0.930,70.349,115.234,29.433,99.915
0.940,70.349,109.863,29.565,99.915
0.950,70.217,113.281,29.565,99.915
0.960,70.217,114.746,29.697,99.915
0.970,70.085,104.004,29.697,99.915
0.980,70.085,106.445,29.829,99.915
0.990,69.953,111.328,29.829,99.915
1.000,69.953,103.516,29.961,99.915
1.010,69.821,114.746,29.961,99.915
1.020,69.821,109.863,30.093,99.915
1.030,69.821,113.281,30.093,99.915
1.040,69.821,107.910,30.093,99.915
1.050,69.821,104.980,30.093,99.915
1.060,69.953,109.375,30.093,99.915
1.070,69.689,113.281,29.961,99.915
1.080,69.557,114.746,30.225,99.915
1.090,69.557,113.281,30.357,99.915
1.100,69.293,109.375,30.357,99.915
1.110,69.293,111.816,30.621,99.915
1.120,69.293,112.305,30.621,99.915
1.130,69.293,112.793,30.621,99.915
1.140,69.161,116.211,30.621,99.915
1.150,69.425,119.629,30.753,99.915
1.160,69.293,115.234,30.489,99.915
1.170,69.557,115.723,30.621,99.915
1.180,69.293,118.652,30.357,99.915
1.190,69.425,108.887,30.621,99.915
1.200,69.293,112.793,30.489,99.915
1.210,69.425,115.234,30.621,99.915
1.220,69.161,113.770,30.489,99.915
1.230,69.293,113.770,30.753,99.915
1.240,69.293,112.305,30.621,99.915
1.250,69.161,109.863,30.621,99.915
1.260,69.161,117.676,30.753,99.915
1.270,69.161,112.793,30.753,99.915
1.280,69.161,113.281,30.753,99.915
1.290,69.293,117.676,30.753,99.915
1.300,69.293,112.305,30.621,99.915
1.310,69.425,115.723,30.621,99.915
1.320,69.293,115.723,30.489,99.915
1.330,69.425,108.398,30.621,99.915
1.340,69.557,114.258,30.489,99.915
1.350,69.557,116.699,30.357,99.915
1.360,69.689,108.887,30.357,99.915
1.370,69.557,111.816,30.225,99.915
1.380,69.689,108.398,30.357,99.915
1.390,69.689,108.398,30.225,99.915
1.400,69.821,114.746,30.225,99.915
1.410,69.821,113.770,30.093,99.915
1.420,69.953,120.117,30.093,99.915
1.430,69.953,112.793,29.961,99.915
1.440,70.085,104.492,29.961,0.000
1.450,66.654,-244.141,-70.085,0.000
1.460,59.922,-247.070,-66.654,0.000
1.470,53.587,-220.215,-59.922,0.000
1.480,47.516,-196.289,-53.587,0.000
1.490,42.236,-175.293,-47.516,0.000
1.500,36.825,-155.762,-42.236,0.000
1.510,32.205,-134.766,-36.825,0.000
1.520,27.849,-120.605,-32.205,0.000
1.530,23.890,-102.051,-27.849,0.000
1.540,20.194,-87.891,-23.890,0.000
1.550,16.762,-73.730,-20.194,0.000
1.560,13.463,-61.523,-16.762,0.000
1.570,10.823,-44.434,-13.463,0.000
1.580,8.051,-44.434,-10.823,0.000
1.590,5.939,-42.969,-8.051,0.000
1.600,4.092,-8.789,-5.939,0.000
1.610,1.848,-33.691,-4.092,0.000
1.620,0.132,5.371,-1.848,0.000
1.630,-0.396,7.324,-0.132,0.000
1.640,0.000,-15.137,0.396,0.000
1.650,0.000,-2.441,0.000,0.000
1.660,-0.132,8.789,0.000,0.000
1.670,0.000,-6.348,0.132,0.000
1.680,0.000,-17.578,0.000,0.000
1.690,0.000,4.395,0.000,0.000
1.700,0.132,-20.020,0.000,0.000
1.710,0.000,-1.465,-0.132,0.000
1.720,0.000,23.438,0.000,0.000
1.730,0.000,-32.227,0.000,0.000
1.740,0.132,23.926,0.000,0.000
1.750,0.000,6.348,-0.132,0.000
1.760,0.660,3.906,0.000,0.000
1.770,-0.792,-67.383,-0.660,0.000
1.780,-0.264,15.137,0.792,0.000
1.790,0.132,18.066,0.264,0.000
1.800,-0.132,-10.254,-0.132,0.000
1.810,0.000,12.695,0.132,0.000
1.820,0.000,11.230,0.000,0.000
1.830,0.132,-18.066,0.000,0.000
1.840,0.000,14.648,-0.132,0.000
1.850,0.000,-1.953,0.000,0.000
1.860,0.000,-20.996,0.000,0.000
1.870,-0.132,1.953,0.000,0.000
1.880,0.000,29.785,0.132,0.000
1.890,0.000,-6.348,0.000,0.000
1.900,0.000,-7.813,0.000,0.000
1.910,0.000,14.648,0.000,0.000
1.920,0.000,0.488,0.000,0.000
1.930,-0.132,13.672,0.000,0.000
1.940,0.792,9.766,0.132,0.000
1.950,0.000,7.813,-0.792,0.000
1.960,-0.264,-28.809,0.000,0.000
1.970,0.000,23.926,0.264,0.000
1.980,0.000,-21.484,0.000,0.000
1.990,0.000,-10.254,0.000,0.000
2.000,0.132,21.973,0.000,0.000
