Temps,Consigne,Ecart,I moteur,vitesse,Sortie Reg.,U moteur
s,mm/s,mm/s,mA,mm/s,inc,V
0.000,0.000,0.000,-16.113,0.000,0.000,0.326
0.010,0.000,0.000,0.488,0.000,0.000,-0.195
0.020,0.000,0.000,20.020,0.132,0.000,-0.597
0.030,0.000,0.132,15.137,0.000,2.000,-0.033
0.040,0.000,0.000,-13.184,0.000,0.000,0.369
0.050,0.000,0.000,-14.648,0.000,0.000,0.326
0.060,0.000,0.000,-4.883,0.000,0.000,-0.239
0.070,0.000,0.000,6.348,0.000,0.000,-0.033
0.080,0.000,0.000,-24.902,0.000,0.000,0.401
0.090,0.000,0.000,24.414,0.000,0.000,-0.391
0.100,99.915,99.783,181.641,-0.132,1023.000,5.849
0.110,99.915,97.275,540.039,6.995,1023.000,5.230
0.120,99.915,88.696,486.328,14.915,1023.000,7.487
0.130,99.915,81.436,508.301,21.910,1023.000,8.626
0.140,99.915,74.309,492.188,29.301,1023.000,10.243
0.150,99.915,66.786,499.023,36.957,1012.000,11.838
0.160,99.915,59.262,476.563,44.348,898.000,12.956
0.170,99.915,52.267,421.875,50.683,792.000,14.182
0.180,99.915,46.592,359.863,55.963,706.000,15.234
0.190,99.915,41.576,325.195,60.582,630.000,15.907
0.200,99.915,37.352,289.551,64.410,566.000,16.656
0.210,99.915,33.921,263.672,67.446,514.000,16.634
0.220,99.915,31.149,238.281,70.085,472.000,17.198
0.230,99.915,28.641,225.586,72.329,434.000,17.437
0.240,99.915,26.661,200.684,74.177,404.000,17.882
0.250,99.915,24.946,198.730,75.497,378.000,18.229
0.260,99.915,23.494,180.664,76.949,356.000,18.207
0.270,99.915,22.438,175.781,77.873,340.000,18.414
0.280,99.915,21.514,158.691,78.797,326.000,18.707
0.290,99.915,20.722,159.668,79.589,314.000,18.859
0.300,99.915,19.798,146.973,80.248,300.000,18.880
0.310,99.915,19.270,145.996,80.908,292.000,18.945
0.320,99.915,18.874,143.066,81.304,286.000,19.347
0.330,99.915,18.478,135.742,81.700,280.000,19.162
0.340,99.915,17.950,134.766,81.964,272.000,19.358
0.350,99.915,17.818,132.813,82.360,270.000,19.336
0.360,99.915,17.422,132.813,82.492,264.000,19.227
0.370,99.915,17.158,127.441,82.624,260.000,19.173
0.380,99.915,17.026,120.117,82.888,258.000,19.249
0.390,99.915,16.894,126.953,83.152,256.000,19.184
0.400,99.915,16.762,125.000,83.284,254.000,19.694
0.410,99.915,16.498,124.023,83.284,250.000,19.423
0.420,99.915,16.498,123.535,83.416,250.000,19.390
0.430,99.915,16.498,123.535,83.416,250.000,19.358
0.440,99.915,16.498,122.559,83.548,250.000,19.477
0.450,99.915,16.366,122.559,83.548,248.000,19.336
0.460,99.915,16.498,123.047,83.416,250.000,19.444
0.470,99.915,16.234,120.605,83.812,246.000,19.444
0.480,99.915,16.234,121.094,83.812,246.000,19.455
0.490,99.915,16.102,119.141,83.812,244.000,19.303
0.500,99.915,15.970,119.141,83.944,242.000,19.553
0.510,99.915,15.839,125.488,83.944,240.000,19.586
0.520,99.915,15.839,116.699,84.208,240.000,19.466
0.530,99.915,15.839,117.188,84.208,240.000,19.510
0.540,99.915,16.234,119.141,84.208,246.000,19.661
0.550,99.915,15.575,116.699,84.340,236.000,19.727
0.560,99.915,15.443,114.746,84.472,234.000,19.651
0.570,99.915,15.311,108.887,84.340,232.000,19.965
0.580,99.915,15.311,112.793,84.604,232.000,19.314
0.590,99.915,15.443,116.211,84.604,234.000,19.477
