Temps,Consigne,I moteur,position,Ecart
s,mm,mA,mm,mm
0.000,23.999,55.176,23.834,0.165
0.010,23.999,21.484,23.835,0.165
0.020,23.999,32.227,23.834,0.165
0.030,23.999,17.090,23.834,0.165
0.040,23.999,52.246,23.834,0.165
0.050,23.999,55.176,23.834,0.165
0.060,23.999,23.926,23.835,0.165
0.070,23.999,36.133,23.835,0.165
0.080,23.999,34.668,23.834,0.165
0.090,23.999,38.574,23.834,0.165
0.100,33.998,507.813,23.863,10.164
0.110,33.998,469.238,23.963,10.136
0.120,33.998,497.559,24.136,10.035
0.130,33.998,492.676,24.381,9.862
0.140,33.998,497.070,24.697,9.617
0.150,33.998,496.094,25.082,9.300
0.160,33.998,493.652,25.540,8.916
0.170,33.998,500.488,26.070,8.457
0.180,33.998,499.023,26.669,7.929
0.190,33.998,503.906,27.339,7.328
0.200,33.998,511.230,28.078,6.661
0.210,33.998,468.262,28.887,5.921
0.220,33.998,371.582,29.753,5.112
0.230,33.998,302.734,30.659,4.245
0.240,33.998,257.813,31.591,3.341
0.250,33.998,221.191,32.546,2.408
0.260,33.998,195.313,33.518,1.451
0.270,33.998,181.152,34.501,0.479
0.280,33.998,163.574,35.492,-0.503
0.290,33.998,147.461,36.486,-1.492
0.300,33.998,-313.477,37.427,-2.487
0.310,33.998,-310.059,38.255,-3.428
0.320,33.998,-617.676,38.964,-4.256
0.330,33.998,-610.352,39.563,-4.965
0.340,33.998,-495.117,40.045,-5.565
0.350,33.998,-499.512,40.412,-6.047
0.360,33.998,-493.164,40.664,-6.413
0.370,33.998,-492.676,40.805,-6.666
0.380,33.998,-500.000,40.836,-6.808
0.390,33.998,-506.348,40.773,-6.836
0.400,33.998,-494.141,40.634,-6.774
0.410,33.998,-501.953,40.426,-6.635
0.420,33.998,-511.230,40.152,-6.429
0.430,33.998,-495.117,39.813,-6.153
0.440,33.998,-500.977,39.407,-5.815
0.450,33.998,-499.512,38.936,-5.408
0.460,33.998,-496.582,38.401,-4.936
0.470,33.998,-503.418,37.800,-4.403
0.480,33.998,-503.418,37.136,-3.802
0.490,33.998,-499.023,36.407,-3.137
0.500,33.998,-456.055,35.620,-2.408
0.510,33.998,-309.082,34.786,-1.621
0.520,33.998,-145.508,33.934,-0.786
0.530,33.998,5.371,33.095,0.064
0.540,33.998,172.363,32.296,0.902
0.550,33.998,298.340,31.569,1.701
0.560,33.998,458.008,30.938,2.431
0.570,33.998,485.352,30.423,3.060
0.580,33.998,516.113,30.023,3.575
0.590,33.998,504.395,29.742,3.975
0.600,33.998,505.859,29.566,4.256
0.610,33.998,595.215,29.497,4.431
0.620,33.998,484.375,29.535,4.501
0.630,33.998,497.070,29.651,4.462
0.640,33.998,498.535,29.840,4.346
0.650,33.998,501.465,30.098,4.158
0.660,33.998,503.906,30.430,3.900
0.670,33.998,499.023,30.835,3.568
0.680,33.998,497.559,31.312,3.163
0.690,33.998,497.559,31.859,2.686
0.700,33.998,411.133,32.472,2.140
0.710,33.998,287.598,33.129,1.526
0.720,33.998,163.086,33.811,0.869
0.730,33.998,32.715,34.492,0.188
0.740,33.998,-94.238,35.151,-0.495
0.750,33.998,-227.539,35.763,-1.152
0.760,33.998,-342.773,36.303,-1.763
0.770,33.998,-336.426,36.747,-2.304
0.780,33.998,-424.316,37.047,-2.748
0.790,33.998,-521.973,37.237,-3.049
0.800,33.998,-494.629,37.322,-3.238
0.810,33.998,-516.602,37.302,-3.323
0.820,33.998,-500.488,37.205,-3.305
0.830,33.998,-509.766,37.038,-3.207
0.840,33.998,-497.559,36.803,-3.039
0.850,33.998,-497.559,36.500,-2.805
0.860,33.998,-474.609,36.135,-2.503
0.870,33.998,-408.691,35.714,-2.137
0.880,33.998,-328.613,35.248,-1.717
0.890,33.998,-238.770,34.755,-1.250
0.900,33.998,-146.973,34.251,-0.758
0.910,33.998,-48.828,33.751,-0.253
0.920,33.998,41.992,33.276,0.247
0.930,33.998,140.625,32.841,0.722
0.940,33.998,222.656,32.459,1.157
0.950,33.998,240.234,32.147,1.539
0.960,33.998,440.430,31.944,1.851
0.970,33.998,398.438,31.847,2.054
0.980,33.998,404.297,31.838,2.152
0.990,33.998,414.551,31.899,2.160
1.000,33.998,413.574,32.022,2.098
1.010,33.998,368.652,32.200,1.977
1.020,33.998,344.727,32.423,1.799
1.030,33.998,296.875,32.685,1.575
1.040,33.998,251.465,32.979,1.315
1.050,33.998,188.965,33.298,1.018
1.060,33.998,134.277,33.629,0.701
1.070,33.998,73.730,33.958,0.369
1.080,33.998,3.906,34.276,0.041
1.090,33.998,-52.246,34.572,-0.278
1.100,33.998,-107.910,34.837,-0.575
1.110,33.998,-162.109,35.055,-0.838
1.120,33.998,-156.738,35.219,-1.057
1.130,33.998,-184.570,35.314,-1.219
1.140,33.998,-239.746,35.350,-1.309
1.150,33.998,-260.254,35.328,-1.351
1.160,33.998,-254.395,35.275,-1.330
1.170,33.998,-238.281,35.197,-1.276
1.180,33.998,-229.980,35.098,-1.199
1.190,33.998,-214.844,34.982,-1.101
1.200,33.998,-191.406,34.852,-0.982
1.210,33.998,-163.574,34.712,-0.853
1.220,33.998,-130.859,34.567,-0.714
1.230,33.998,-110.840,34.422,-0.570
1.240,33.998,-79.102,34.278,-0.423
1.250,33.998,-54.199,34.141,-0.278
1.260,33.998,-32.715,34.015,-0.142
1.270,33.998,0.488,33.909,-0.015
1.280,33.998,16.113,33.827,0.090
1.290,33.998,27.344,33.773,0.170
1.300,33.998,33.203,33.739,0.227
1.310,33.998,39.551,33.735,0.260
1.320,33.998,45.898,33.747,0.263
1.330,33.998,48.828,33.755,0.250
1.340,33.998,39.063,33.758,0.242
1.350,33.998,31.738,33.758,0.240
1.360,33.998,58.594,33.758,0.240
1.370,33.998,36.133,33.758,0.240
1.380,33.998,56.641,33.758,0.240
1.390,33.998,34.668,33.758,0.240
1.400,33.998,54.688,33.758,0.240
1.410,33.998,39.063,33.758,0.240
1.420,33.998,49.316,33.758,0.240
1.430,33.998,25.391,33.758,0.240
1.440,33.998,30.762,33.758,0.240
1.450,33.998,57.617,33.758,0.240
1.460,33.998,46.875,33.758,0.240
1.470,33.998,56.641,33.757,0.240
1.480,33.998,48.340,33.758,0.242
1.490,33.998,77.637,33.766,0.240
1.500,33.998,38.086,33.768,0.232
1.510,33.998,20.508,33.767,0.229
1.520,33.998,48.340,33.767,0.232
1.530,33.998,46.875,33.767,0.232
1.540,33.998,37.109,33.767,0.232
1.550,33.998,34.668,33.767,0.232
1.560,33.998,48.340,33.767,0.232
1.570,33.998,51.758,33.767,0.232
1.580,33.998,46.387,33.767,0.232
1.590,33.998,51.270,33.767,0.232
1.600,33.998,18.555,33.767,0.232
1.610,33.998,27.832,33.767,0.232
1.620,33.998,53.711,33.767,0.232
1.630,33.998,38.574,33.767,0.232
1.640,33.998,64.941,33.767,0.232
1.650,33.998,57.129,33.764,0.232
1.660,33.998,45.410,33.771,0.235
1.670,33.998,40.039,33.783,0.227
1.680,33.998,30.273,33.787,0.217
1.690,33.998,46.387,33.786,0.211
1.700,33.998,43.457,33.786,0.211
1.710,33.998,19.043,33.786,0.211
1.720,33.998,52.734,33.786,0.211
1.730,33.998,33.691,33.786,0.211
1.740,33.998,28.809,33.786,0.211
1.750,33.998,55.664,33.786,0.211
1.760,33.998,20.996,33.786,0.211
1.770,33.998,32.715,33.786,0.211
1.780,33.998,42.969,33.786,0.211
1.790,33.998,38.086,33.786,0.211
1.800,33.998,56.152,33.786,0.211
1.810,33.998,50.781,33.786,0.211
1.820,33.998,51.270,33.785,0.211
1.830,33.998,44.922,33.785,0.214
1.840,33.998,66.406,33.789,0.214
1.850,33.998,49.805,33.789,0.209
1.860,33.998,33.203,33.789,0.209
1.870,33.998,55.664,33.789,0.209
1.880,33.998,38.574,33.789,0.209
1.890,33.998,27.344,33.789,0.209
1.900,33.998,46.875,33.789,0.209
1.910,33.998,27.832,33.789,0.209
1.920,33.998,43.945,33.789,0.209
1.930,33.998,20.996,33.789,0.209
1.940,33.998,31.250,33.789,0.209
1.950,33.998,32.715,33.789,0.209
1.960,33.998,51.758,33.789,0.209
1.970,33.998,39.063,33.789,0.209
1.980,33.998,39.551,33.789,0.209
1.990,33.998,48.828,33.789,0.209
2.000,33.998,32.715,33.791,0.209
2.010,33.998,37.598,33.794,0.209
2.020,33.998,55.176,33.793,0.204
2.030,33.998,27.344,33.794,0.206
2.040,33.998,45.898,33.793,0.204
2.050,33.998,23.926,33.794,0.206
2.060,33.998,48.340,33.794,0.204
2.070,33.998,47.363,33.794,0.204
2.080,33.998,35.156,33.794,0.204
2.090,33.998,25.391,33.794,0.204
2.100,33.998,41.992,33.794,0.204
2.110,33.998,29.785,33.794,0.204
2.120,33.998,39.551,33.794,0.204
2.130,33.998,48.340,33.794,0.204
2.140,33.998,7.813,33.793,0.204
2.150,33.998,50.293,33.794,0.206
2.160,33.998,33.691,33.794,0.204
2.170,33.998,36.621,33.794,0.204
2.180,33.998,36.621,33.789,0.204
2.190,33.998,74.707,33.798,0.209
2.200,33.998,40.039,33.809,0.201
2.210,33.998,15.137,33.812,0.188
2.220,33.998,33.203,33.811,0.186
2.230,33.998,40.527,33.811,0.188
2.240,33.998,29.785,33.811,0.188
2.250,33.998,31.738,33.811,0.188
2.260,33.998,26.855,33.811,0.188
2.270,33.998,40.039,33.811,0.188
2.280,33.998,35.156,33.811,0.188
2.290,33.998,16.113,33.811,0.188
2.300,33.998,38.574,33.811,0.188
2.310,33.998,28.320,33.811,0.188
2.320,33.998,52.734,33.811,0.188
2.330,33.998,21.484,33.811,0.188
2.340,33.998,35.156,33.811,0.188
2.350,33.998,9.277,33.812,0.188
2.360,33.998,22.949,33.808,0.186
2.370,33.998,60.059,33.810,0.191
2.380,33.998,27.832,33.813,0.188
2.390,33.998,46.387,33.812,0.186
2.400,33.998,32.715,33.812,0.186
2.410,33.998,37.109,33.812,0.186
2.420,33.998,46.387,33.812,0.186
2.430,33.998,19.043,33.812,0.186
2.440,33.998,40.527,33.812,0.186
2.450,33.998,20.020,33.812,0.186
2.460,33.998,35.645,33.812,0.186
2.470,33.998,41.992,33.812,0.186
2.480,33.998,48.828,33.812,0.186
2.490,33.998,27.344,33.812,0.186
2.500,33.998,50.781,33.812,0.186
2.510,33.998,12.695,33.812,0.186
2.520,33.998,13.672,33.812,0.186
2.530,33.998,28.809,33.809,0.186
2.540,33.998,29.785,33.809,0.188
2.550,33.998,37.109,33.816,0.188
2.560,33.998,41.504,33.817,0.183
2.570,33.998,43.457,33.817,0.180
2.580,33.998,23.438,33.817,0.180
2.590,33.998,50.293,33.817,0.180
2.600,33.998,31.738,33.817,0.180
2.610,33.998,42.480,33.817,0.180
2.620,33.998,39.063,33.817,0.180
2.630,33.998,4.395,33.817,0.180
