Temps,Sortie Reg.,position,I moteur,Consigne,Mesure,vitesse,accélération
s,mm/s,mm,mA,mm,mm,mm/s,mm/s²
0.000,-8.711,25.173,-8.301,25.001,25.171,0.132,8.110
0.010,-8.711,25.173,31.738,25.001,25.171,0.000,-2.703
0.020,-8.711,25.173,8.301,25.001,25.171,0.000,0.000
0.030,-8.711,25.173,11.230,25.001,25.171,0.000,-2.703
0.040,-8.711,25.173,29.785,25.001,25.171,0.000,2.703
0.050,-8.711,25.173,-12.695,25.001,25.171,0.000,-2.703
0.060,-8.711,25.173,40.527,25.001,25.171,0.000,0.000
0.070,-8.711,25.173,-0.488,25.001,25.171,0.000,0.000
0.080,-8.711,25.173,-4.883,25.001,25.171,0.000,0.000
0.090,-8.711,25.173,49.316,25.001,25.171,0.000,0.000
0.100,-8.711,25.173,20.020,25.001,25.171,0.000,0.000
0.110,-8.711,25.173,6.348,25.001,25.171,0.000,0.000
0.120,-8.711,25.173,29.785,25.001,25.171,0.000,0.000
0.130,-8.711,25.173,-4.883,25.001,25.171,0.000,0.000
0.140,-8.711,25.173,13.672,25.001,25.171,0.000,0.000
0.150,-8.711,25.173,22.461,25.001,25.171,0.000,0.000
0.160,-8.711,25.173,16.113,25.001,25.171,0.000,0.000
0.170,-8.711,25.173,8.301,25.001,25.171,0.000,0.000
0.180,-8.711,25.173,24.902,25.001,25.171,0.000,0.000
0.190,-8.711,25.173,11.230,25.001,25.171,0.000,0.000
0.200,-8.711,25.173,4.883,25.001,25.171,0.000,0.000
0.210,-8.711,25.173,24.902,25.001,25.171,-0.132,-2.703
0.220,-8.711,25.173,10.254,25.001,25.171,0.132,2.703
0.230,-8.711,25.173,16.602,25.001,25.171,0.000,0.000
0.240,-8.711,25.173,11.719,25.001,25.171,0.000,2.703
0.250,-8.711,25.173,24.414,25.001,25.171,0.000,-5.407
0.260,-8.711,25.173,-0.977,25.001,25.171,0.000,5.407
0.270,-8.711,25.173,7.813,25.001,25.171,0.000,-2.703
0.280,-8.711,25.173,35.645,25.001,25.171,0.000,0.000
0.290,-8.711,25.173,5.371,25.001,25.171,0.000,0.000
0.300,-8.711,25.173,9.766,25.001,25.171,0.000,0.000
0.310,-8.711,25.173,28.809,25.001,25.171,0.000,0.000
0.320,-8.711,25.173,-7.813,25.001,25.171,0.000,0.000
0.330,-8.711,25.173,41.504,25.001,25.171,0.000,0.000
0.340,-8.711,25.173,2.441,25.001,25.171,0.000,0.000
0.350,-8.711,25.173,18.066,25.001,25.171,0.000,0.000
0.360,-8.711,25.173,30.273,25.001,25.171,0.000,0.000
0.370,-8.711,25.173,-10.254,25.001,25.171,0.000,0.000
0.380,-8.711,25.173,34.180,25.001,25.171,0.000,0.000
0.390,-8.711,25.173,11.719,25.001,25.171,0.000,0.000
0.400,135.023,25.204,501.465,50.000,25.197,4.752,97.318
0.410,135.023,25.320,525.391,50.000,25.303,13.199,270.328
0.420,135.023,25.517,511.719,50.000,25.494,21.382,437.931
0.430,135.023,25.784,469.727,50.000,25.754,28.377,483.887
0.440,135.023,26.116,446.777,50.000,26.079,34.977,543.359
0.450,135.023,26.507,414.551,50.000,26.465,40.916,573.095
0.460,135.023,26.953,396.973,50.000,26.904,46.328,535.249
0.470,135.023,27.448,377.930,50.000,27.396,51.475,481.184
0.480,135.023,27.990,365.234,50.000,27.932,56.227,448.744
0.490,135.023,28.576,340.820,50.000,28.515,60.714,416.305
0.500,135.023,29.202,319.336,50.000,29.136,64.674,381.162
0.510,135.023,29.865,307.617,50.000,29.796,68.502,356.833
0.520,135.023,30.563,297.852,50.000,30.492,71.933,327.097
0.530,135.023,31.293,288.574,50.000,31.219,75.233,308.174
0.540,135.023,32.052,270.508,50.000,31.974,78.137,278.438
0.550,135.023,32.838,258.789,50.000,32.758,80.908,262.218
0.560,135.023,33.650,245.605,50.000,33.567,83.548,240.592
0.570,135.023,34.485,243.652,50.000,34.400,85.792,224.372
0.580,135.023,35.342,229.004,50.000,35.255,88.036,205.449
0.590,135.023,36.219,218.750,50.000,36.129,90.148,191.933
0.600,135.023,37.114,215.332,50.000,37.024,91.995,181.120
0.610,135.023,38.025,207.031,50.000,37.934,93.579,159.493
0.620,135.023,38.953,195.801,50.000,38.859,95.163,148.680
0.630,135.023,39.894,200.684,50.000,39.797,96.615,137.867
0.640,135.023,40.850,190.918,50.000,40.754,97.935,127.054
0.650,135.023,41.819,191.406,50.000,41.720,99.387,118.944
0.660,135.023,42.798,187.012,50.000,42.700,100.443,110.834
0.670,135.023,43.783,176.758,50.000,43.682,100.970,91.911
0.680,135.023,44.774,149.414,50.000,44.674,101.762,75.692
0.690,135.023,45.776,169.434,50.000,45.675,102.686,75.692
0.700,135.023,46.784,149.902,50.000,46.682,103.346,70.285
0.710,135.023,47.792,146.973,50.000,47.693,103.874,54.066
0.720,113.113,48.808,137.695,50.000,48.706,104.138,45.956
0.730,61.110,49.809,-121.094,50.000,49.711,101.894,-10.813
0.740,9.767,50.753,-420.898,50.000,50.660,95.031,-167.603
0.750,-38.540,51.606,-371.582,50.000,51.523,85.000,-381.162
0.760,-82.228,52.355,-238.770,50.000,52.284,75.365,-537.953
0.770,-120.505,53.003,-479.004,50.000,52.941,65.070,-659.600
0.780,-135.023,53.549,-453.125,50.000,53.498,54.247,-770.434
0.790,-135.023,53.993,-442.383,50.000,53.952,43.820,-851.533
0.800,-135.023,54.335,-449.707,50.000,54.305,33.525,-843.423
0.810,-135.023,54.573,-450.684,50.000,54.552,22.702,-856.939
0.820,-135.023,54.707,-451.660,50.000,54.697,12.143,-870.456
0.830,-135.023,54.742,-450.195,50.000,54.743,2.112,-856.939
0.840,-135.023,54.693,-451.172,50.000,54.699,-6.071,-800.171
0.850,-135.023,54.583,-424.805,50.000,54.596,-12.143,-719.072
0.860,-135.023,54.420,-408.691,50.000,54.436,-17.554,-619.051
0.870,-135.023,54.207,-380.859,50.000,54.230,-22.438,-540.656
0.880,-135.023,53.948,-376.465,50.000,53.975,-27.057,-473.074
0.890,-135.023,53.645,-344.238,50.000,53.676,-31.677,-413.602
0.900,-135.023,53.301,-337.891,50.000,53.336,-35.637,-381.162
0.910,-135.023,52.925,-321.289,50.000,52.964,-38.936,-343.316
0.920,-135.023,52.516,-306.641,50.000,52.557,-42.368,-313.580
0.930,-128.820,52.077,-270.508,50.000,52.121,-45.404,-294.657
0.940,-106.250,51.621,-163.086,50.000,51.665,-46.724,-240.592
0.950,-83.020,51.165,-118.164,50.000,51.209,-46.592,-154.087
0.960,-59.658,50.721,-80.566,50.000,50.763,-45.140,-64.879
0.970,-36.825,50.334,198.730,50.000,50.369,-38.408,108.131
0.980,-17.026,50.000,132.324,50.000,50.031,-33.393,243.295
0.990,0.000,49.714,167.969,50.000,49.740,-28.509,343.316
1.000,14.651,49.484,210.938,50.000,49.502,-22.570,354.130
1.010,26.398,49.319,260.254,50.000,49.332,-15.970,494.700
1.020,34.977,49.218,241.699,50.000,49.224,-9.239,497.403
1.030,40.124,49.181,240.723,50.000,49.180,-2.904,502.810
1.040,41.972,49.197,221.191,50.000,49.193,2.244,494.700
1.050,41.180,49.240,188.965,50.000,49.234,4.752,421.711
1.060,38.936,49.301,177.734,50.000,49.294,6.599,332.503
1.070,35.901,49.374,157.227,50.000,49.366,7.655,240.592
1.080,32.073,49.459,144.531,50.000,49.448,8.711,186.526
1.090,27.717,49.550,118.652,50.000,49.541,9.503,110.834
1.100,23.098,49.647,93.262,50.000,49.637,10.031,86.505
1.110,18.082,49.744,94.238,50.000,49.734,9.899,45.956
1.120,13.199,49.830,83.008,50.000,49.820,8.579,2.703
1.130,8.711,49.906,43.457,50.000,49.897,7.655,-32.439
1.140,4.884,49.974,39.551,50.000,49.966,6.863,-51.362
1.150,1.452,50.031,30.273,50.000,50.026,5.675,-62.175
1.160,-1.584,50.075,19.043,50.000,50.070,4.224,-97.318
1.170,-3.828,50.107,20.508,50.000,50.103,3.168,-94.615
1.180,-5.411,50.128,25.391,50.000,50.126,1.980,-91.911
1.190,-6.467,50.137,16.602,50.000,50.137,0.792,-94.615
1.200,-6.995,50.136,5.859,50.000,50.137,-0.132,-97.318
1.210,-6.863,50.135,33.691,50.000,50.134,-0.132,-64.879
1.220,-6.863,50.136,22.949,50.000,50.134,0.132,-37.846
1.230,-6.863,50.135,12.207,50.000,50.134,-0.132,-24.330
1.240,-6.863,50.135,26.367,50.000,50.134,0.000,-16.220
1.250,-6.863,50.135,12.695,50.000,50.134,-0.132,-5.407
1.260,-6.863,50.136,25.879,50.000,50.134,0.000,8.110
1.270,-6.863,50.144,27.832,50.000,50.142,0.924,13.516
1.280,-7.259,50.144,-8.789,50.000,50.142,-0.396,-2.703
1.290,-7.259,50.143,36.621,50.000,50.142,0.000,-2.703
1.300,-7.259,50.144,12.695,50.000,50.142,0.132,-13.516
1.310,-7.259,50.144,40.527,50.000,50.142,0.000,27.033
1.320,-7.259,50.143,17.578,50.000,50.142,0.000,-27.033
1.330,-7.259,50.143,37.598,50.000,50.142,0.000,5.407
1.340,-7.259,50.143,5.371,50.000,50.142,0.000,2.703
1.350,-7.259,50.144,42.969,50.000,50.142,0.132,0.000
1.360,-7.259,50.143,-1.465,50.000,50.142,0.000,0.000
1.370,-7.259,50.143,44.922,50.000,50.142,0.000,0.000
1.380,-7.259,50.143,2.930,50.000,50.142,0.000,-2.703
1.390,-7.259,50.143,13.672,50.000,50.142,0.000,2.703
1.400,-7.259,50.143,28.809,50.000,50.142,0.000,-2.703
1.410,-7.259,50.143,2.441,50.000,50.142,0.132,2.703
