Temps,vitesse,I moteur,accélération,position,U moteur,Sortie Reg.
s,mm/s,mA,mm/s²,mm,V,mA
0.000,0.000,-5.371,0.000,24.031,0.195,0.000
0.010,0.000,-19.531,0.000,24.031,0.510,0.000
0.020,0.000,-22.461,0.000,24.031,0.412,0.000
0.030,0.000,-7.324,0.000,24.031,-0.033,0.000
0.040,0.000,25.391,0.000,24.031,-0.467,0.000
0.050,0.000,13.672,0.000,24.031,-0.293,0.000
0.060,0.000,-11.230,0.000,24.031,0.488,0.000
0.070,0.000,-21.484,0.000,24.031,0.456,0.000
0.080,0.000,-7.813,0.000,24.031,0.260,0.000
0.090,0.000,23.926,0.000,24.031,-0.521,0.000
0.100,0.924,175.293,18.923,24.041,1.921,199.707
0.110,3.300,201.660,67.582,24.075,2.365,199.707
0.120,5.807,199.707,118.944,24.133,2.702,199.707
0.130,7.655,199.219,137.867,24.209,2.680,199.707
0.140,9.767,222.168,151.384,24.305,3.592,199.707
0.150,12.143,197.754,178.416,24.424,4.232,199.707
0.160,14.123,198.242,183.823,24.562,4.818,199.707
0.170,15.839,201.172,162.197,24.716,5.154,199.707
0.180,17.290,200.195,148.680,24.886,5.490,199.707
0.190,19.006,196.777,148.680,25.072,5.718,199.707
0.200,20.986,199.219,145.977,25.277,6.293,199.707
0.210,22.702,198.730,145.977,25.499,6.879,199.707
0.220,24.550,199.219,143.274,25.740,7.010,199.707
0.230,26.530,204.590,148.680,25.999,7.422,199.707
0.240,27.981,194.824,148.680,26.275,7.617,199.707
0.250,29.829,205.078,143.274,26.567,8.051,199.707
0.260,31.545,195.313,140.570,26.875,8.767,199.707
0.270,33.393,199.707,151.384,27.201,8.735,199.707
0.280,34.845,196.777,132.461,27.543,9.201,199.707
0.290,36.561,199.707,140.570,27.901,9.766,199.707
0.300,38.276,200.195,135.164,28.276,9.820,199.707
0.310,40.124,200.195,145.977,28.667,10.026,199.707
0.320,41.444,197.266,129.757,29.073,10.645,199.707
0.330,43.160,202.637,135.164,29.496,10.927,199.707
0.340,44.876,196.777,132.461,29.934,11.350,199.707
0.350,46.328,200.195,137.867,30.387,11.708,199.707
0.360,48.175,195.801,129.757,30.858,12.218,199.707
0.370,49.759,198.242,135.164,31.345,12.804,199.707
0.380,51.343,198.242,137.867,31.847,12.793,199.707
0.390,52.927,195.313,127.054,32.365,13.422,199.707
0.400,54.511,200.684,135.164,32.899,13.433,199.707
0.410,56.227,197.266,132.461,33.448,14.084,199.707
0.420,57.943,196.777,135.164,34.014,14.388,199.707
0.430,59.526,193.359,135.164,34.595,14.681,199.707
0.440,60.978,206.543,129.757,35.191,15.017,199.707
0.450,62.694,199.219,132.461,35.804,15.484,199.707
0.460,64.146,199.219,129.757,36.432,15.885,199.707
0.470,65.730,198.242,129.757,37.075,15.875,199.707
0.480,67.578,197.754,129.757,37.735,16.341,199.707
0.490,69.293,187.500,140.570,38.412,16.764,199.707
0.500,70.745,204.102,132.461,39.103,17.166,199.707
0.510,72.197,196.289,127.054,39.809,17.470,199.707
0.520,73.781,199.219,129.757,40.529,17.611,199.707
0.530,75.365,200.195,129.757,41.267,18.305,199.707
0.540,76.949,198.730,127.054,42.019,18.609,199.707
0.550,78.665,199.707,129.757,42.787,19.043,199.707
0.560,80.116,200.684,129.757,43.569,19.227,199.707
0.570,81.568,197.754,127.054,44.366,19.466,199.707
0.580,82.888,195.313,118.944,45.177,19.878,199.707
0.590,84.604,198.242,127.054,46.003,20.215,199.707
0.600,86.188,201.172,124.351,46.845,20.605,199.707
0.610,87.640,196.289,127.054,47.702,20.844,199.707
0.620,89.224,201.172,121.648,48.574,21.246,199.707
0.630,90.807,196.289,129.757,49.461,21.549,199.707
0.640,92.391,198.730,129.757,50.364,21.994,199.707
0.650,93.975,201.172,127.054,51.282,21.973,199.707
0.660,94.767,198.242,113.538,52.209,22.081,199.707
0.670,97.011,207.031,127.054,53.156,22.211,199.707
0.680,98.463,205.566,124.351,54.119,22.211,199.707
0.690,100.047,191.406,140.570,55.097,22.211,199.707
0.700,100.707,171.875,91.911,56.081,22.211,199.707
0.710,102.290,153.320,124.351,57.080,22.211,199.707
0.720,103.082,139.648,91.911,58.086,22.211,199.707
0.730,103.346,138.184,86.505,59.096,22.211,199.707
0.740,103.742,133.301,43.252,60.110,22.211,199.707
0.750,104.006,130.371,51.362,61.127,22.211,199.707
0.760,103.874,123.047,27.033,62.142,22.211,199.707
0.770,103.874,116.699,8.110,63.159,22.211,199.707
0.780,104.402,122.559,16.220,64.178,22.211,199.707
0.790,104.402,118.652,16.220,65.195,22.211,199.707
0.800,104.402,122.559,8.110,66.215,22.211,199.707
0.810,104.534,118.164,2.703,67.236,22.211,199.707
0.820,104.534,120.605,13.516,68.253,22.211,199.707
0.830,104.402,121.582,0.000,69.274,22.211,199.707
0.840,104.402,122.070,-2.703,70.291,22.211,199.707
0.850,104.402,117.676,0.000,71.307,22.211,199.707
0.860,104.402,117.188,0.000,72.326,22.211,199.707
0.870,104.138,121.094,-8.110,73.343,22.211,199.707
0.880,104.138,120.117,-5.407,74.361,22.211,199.707
0.890,104.138,124.512,-5.407,75.378,22.211,199.707
0.900,104.138,120.117,0.000,76.395,22.211,199.707
0.910,104.270,119.629,-2.703,77.409,22.211,199.707
0.920,104.138,123.047,0.000,78.424,22.211,199.707
0.930,104.138,120.117,0.000,79.442,22.211,199.707
0.940,104.138,125.000,-2.703,80.456,22.211,199.707
0.950,104.138,124.023,2.703,81.472,22.211,199.707
0.960,104.138,121.582,-2.703,82.488,22.211,199.707
0.970,104.006,118.652,-2.703,83.503,22.211,199.707
0.980,103.874,122.559,-5.407,84.518,22.211,199.707
0.990,104.534,125.488,8.110,85.533,22.211,199.707
1.000,103.478,124.512,-10.813,86.546,22.211,199.707
1.010,104.006,124.512,0.000,87.562,22.211,199.707
1.020,104.138,121.582,-10.813,88.576,22.211,199.707
1.030,104.006,120.117,24.330,89.591,22.211,199.707
1.040,103.874,125.000,-24.330,90.607,22.211,199.707
1.050,104.006,121.582,8.110,91.622,22.211,199.707
1.060,103.874,118.164,0.000,92.637,22.211,199.707
1.070,103.874,119.141,-2.703,93.652,22.211,199.707
1.080,103.874,123.535,-5.407,94.667,22.211,199.707
1.090,103.874,120.117,2.703,95.682,22.211,199.707
