Temps,Consigne,Ecart,I moteur,vitesse
s,mm/s,mm/s,mA,mm/s
0.000,0.000,0.000,4.883,0.000
0.010,0.000,0.000,-13.184,0.000
0.020,0.000,0.000,-20.996,0.000
0.030,0.000,0.000,19.043,0.000
0.040,0.000,0.000,-15.625,0.000
0.050,0.000,0.000,1.465,0.000
0.060,0.000,0.000,14.160,0.000
0.070,0.000,0.000,22.461,0.000
0.080,0.000,0.000,-4.883,0.000
0.090,0.000,0.000,-17.090,0.000
0.100,99.915,99.915,408.691,3.168
0.110,99.915,96.747,378.418,7.919
0.120,99.915,91.995,369.141,11.747
0.130,99.915,88.168,374.512,17.686
0.140,99.915,82.228,308.105,21.250
0.150,99.915,78.665,306.152,24.814
0.160,99.915,75.101,269.043,28.377
0.170,99.915,71.537,272.461,31.149
0.180,99.915,68.766,251.953,33.921
0.190,99.915,65.994,238.281,36.429
0.200,99.915,63.486,229.980,38.804
0.210,99.915,61.110,227.539,40.916
0.220,99.915,58.998,209.961,42.896
0.230,99.915,57.019,210.938,44.612
0.240,99.915,55.303,209.961,46.196
0.250,99.915,53.719,195.313,47.648
0.260,99.915,52.267,190.430,48.967
0.270,99.915,50.947,187.988,50.155
0.280,99.915,49.759,188.965,51.211
0.290,99.915,48.703,187.500,52.267
0.300,99.915,47.648,183.594,53.191
0.310,99.915,46.724,177.734,53.851
0.320,99.915,46.064,168.945,54.643
0.330,99.915,45.272,168.945,55.567
0.340,99.915,44.348,170.898,56.491
0.350,99.915,43.424,159.668,57.151
0.360,99.915,42.764,159.668,58.075
0.370,99.915,41.840,147.461,58.866
0.380,99.915,41.048,151.367,59.658
0.390,99.915,40.256,149.902,60.186
0.400,99.915,39.728,146.484,60.846
0.410,99.915,39.068,150.879,61.374
0.420,99.915,38.540,140.137,61.770
0.430,99.915,38.144,145.996,62.298
0.440,99.915,37.616,139.160,62.826
0.450,99.915,37.089,141.602,63.222
0.460,99.915,36.693,137.207,63.618
0.470,99.915,36.297,133.301,64.014
0.480,99.915,35.901,133.789,64.278
0.490,99.915,35.637,132.324,64.410
0.500,99.915,35.505,127.930,65.070
0.510,99.915,34.845,129.883,65.466
0.520,99.915,34.449,125.488,65.862
0.530,99.915,34.053,127.930,65.994
0.540,99.915,33.921,122.070,66.258
0.550,99.915,33.657,121.582,66.390
0.560,99.915,33.525,118.164,66.654
0.570,99.915,33.261,123.535,66.786
0.580,99.915,33.129,122.559,66.918
0.590,99.915,32.997,126.953,67.050
0.600,99.915,32.865,119.629,67.314
0.610,99.915,32.601,119.629,67.182
0.620,99.915,32.733,126.465,67.446
0.630,99.915,32.469,122.070,67.578
0.640,99.915,32.337,120.605,67.578
0.650,99.915,32.337,119.141,67.842
0.660,99.915,32.073,118.164,68.106
0.670,99.915,31.809,120.117,68.370
0.680,99.915,31.545,120.605,68.370
0.690,99.915,31.545,121.094,68.370
0.700,99.915,31.545,118.164,68.502
0.710,99.915,31.413,119.629,68.370
0.720,99.915,31.545,115.723,68.370
0.730,99.915,31.545,114.746,68.634
0.740,99.915,31.281,115.234,68.634
0.750,99.915,31.281,116.699,68.634
0.760,99.915,31.281,117.188,68.502
0.770,99.915,31.413,116.211,68.634
0.780,99.915,31.281,117.188,68.502
0.790,99.915,31.413,113.281,68.502
0.800,99.915,31.413,117.188,68.238
0.810,99.915,31.677,117.676,68.370
0.820,99.915,31.545,117.188,68.238
0.830,99.915,31.677,116.699,68.370
0.840,99.915,31.545,115.234,68.106
0.850,99.915,31.809,109.375,68.106
0.860,99.915,31.809,117.676,67.578
0.870,99.915,32.337,115.723,67.446
0.880,99.915,32.469,118.164,67.446
0.890,99.915,32.469,119.629,67.182
0.900,99.915,32.733,123.047,66.786
0.910,99.915,33.129,118.164,66.786
0.920,99.915,33.129,122.559,66.654
0.930,99.915,33.261,122.070,66.522
0.940,99.915,33.393,121.582,66.258
0.950,99.915,33.657,124.023,66.390
0.960,99.915,33.525,127.930,66.390
0.970,99.915,33.525,123.047,65.994
0.980,99.915,33.921,123.047,65.862
0.990,99.915,34.053,133.301,65.730
1.000,99.915,34.185,129.395,65.334
1.010,99.915,34.581,135.254,65.598
