Temps,Consigne,Ecart,I moteur,vitesse
s,mm/s,mm/s,mA,mm/s
0.000,0.000,0.000,7.813,0.000
0.010,0.000,0.000,-19.043,0.000
0.020,0.000,0.000,13.672,0.000
0.030,0.000,0.000,18.555,0.000
0.040,0.000,0.000,-28.809,0.000
0.050,0.000,0.000,-1.953,0.000
0.060,0.000,0.000,16.113,0.000
0.070,0.000,0.000,18.066,0.000
0.080,0.000,0.000,-3.418,0.000
0.090,0.000,0.000,-18.066,0.000
0.100,99.915,99.915,21.484,0.000
0.110,99.915,98.727,377.441,4.620
0.120,99.915,92.391,426.270,10.691
0.130,99.915,85.792,451.172,17.422
0.140,99.915,79.325,457.031,24.022
0.150,99.915,72.857,453.613,30.621
0.160,99.915,65.862,467.773,37.220
0.170,99.915,59.526,468.750,43.688
0.180,99.915,52.927,456.055,50.023
0.190,99.915,46.592,457.031,56.491
0.200,99.915,40.520,449.707,62.430
0.210,99.915,34.449,442.383,68.238
0.220,99.915,28.773,430.176,74.045
0.230,99.915,22.966,425.781,79.457
0.240,99.915,17.686,415.039,85.000
0.250,99.915,12.407,380.859,89.884
0.260,99.915,7.787,314.453,93.711
0.270,99.915,4.488,256.836,96.879
0.280,99.915,2.112,227.051,98.859
0.290,99.915,0.132,199.219,100.311
0.300,99.915,-1.056,182.617,101.498
0.310,99.915,-1.980,160.645,102.290
0.320,99.915,-2.640,155.273,102.950
0.330,99.915,-3.168,148.926,103.346
0.340,99.915,-3.696,144.531,103.742
0.350,99.915,-3.960,135.742,104.006
0.360,99.915,-4.224,125.000,104.270
0.370,99.915,-4.356,132.324,104.402
0.380,99.915,-4.488,129.395,104.534
0.390,99.915,-4.620,123.535,104.534
0.400,99.915,-4.752,123.535,104.666
0.410,99.915,-4.620,121.094,104.534
0.420,99.915,-4.752,124.023,104.666
0.430,99.915,-4.620,124.512,104.666
0.440,99.915,-4.620,119.141,104.666
0.450,99.915,-4.620,122.559,104.666
0.460,99.915,-4.620,118.652,104.666
0.470,99.915,-4.620,123.047,104.666
0.480,99.915,-4.488,123.047,104.534
0.490,99.915,-4.752,125.977,104.534
0.500,99.915,-4.092,119.141,104.402
0.510,99.915,-4.752,121.582,104.534
0.520,99.915,-4.488,125.977,104.534
0.530,99.915,-4.488,123.535,104.402
0.540,99.915,-4.488,125.977,104.270
0.550,99.915,-3.960,122.559,104.270
0.560,99.915,-4.224,125.000,104.270
0.570,99.915,-4.224,130.371,104.138
0.580,99.915,-4.092,131.348,103.346
0.590,99.915,-4.092,132.324,103.874
0.600,99.915,-3.828,129.395,103.742
0.610,99.915,-3.696,139.648,103.610
0.620,99.915,-3.564,139.160,103.478
0.630,99.915,-3.564,138.184,102.950
0.640,99.915,-3.564,139.160,103.346
0.650,99.915,-3.564,135.254,103.346
0.660,99.915,-3.432,144.531,103.346
0.670,99.915,-3.168,142.090,103.346
0.680,99.915,-3.300,143.066,103.082
0.690,99.915,-3.300,140.137,103.082
0.700,99.915,-3.036,142.578,103.214
0.710,99.915,-3.168,141.602,103.214
0.720,99.915,-3.432,138.184,103.214
0.730,99.915,-3.564,136.230,102.818
0.740,99.915,-3.432,133.789,103.214
0.750,99.915,-3.432,139.160,103.346
0.760,99.915,-3.432,139.160,102.950
0.770,99.915,-3.432,140.137,103.346
0.780,99.915,-3.696,131.836,103.478
0.790,99.915,-3.696,132.324,103.742
0.800,99.915,-3.828,133.301,103.874
0.810,99.915,-3.960,125.977,104.006
