Temps,Consigne,Ecart,I moteur,vitesse
s,mm/s,mm/s,mA,mm/s
0.000,0.000,0.000,3.418,0.000
0.010,0.000,0.000,2.441,0.000
0.020,0.000,0.000,-32.227,0.000
0.030,0.000,0.000,11.230,0.000
0.040,0.000,0.000,20.020,0.000
0.050,0.000,0.000,7.813,0.000
0.060,0.000,0.000,0.000,0.000
0.070,0.000,0.000,-15.137,0.000
0.080,0.000,0.000,27.832,0.000
0.090,0.000,0.000,-7.324,0.000
0.100,99.915,99.915,508.789,1.584
0.110,99.915,98.331,502.441,10.031
0.120,99.915,89.884,401.855,17.818
0.130,99.915,82.096,300.293,22.834
0.140,99.915,77.081,327.148,26.530
0.150,99.915,73.385,369.141,31.017
0.160,99.915,68.898,374.023,35.637
0.170,99.915,64.278,369.629,40.652
0.180,99.915,59.262,372.559,45.536
0.190,99.915,54.379,379.395,50.287
0.200,99.915,49.627,371.094,55.171
0.210,99.915,44.744,372.559,60.186
0.220,99.915,39.728,372.070,64.806
0.230,99.915,35.109,370.605,69.161
0.240,99.915,30.753,369.629,73.517
0.250,99.915,26.398,363.281,78.005
0.260,99.915,21.910,356.934,82.360
0.270,99.915,17.554,340.332,86.452
0.280,99.915,13.463,338.867,90.675
0.290,99.915,9.239,280.273,94.503
0.300,99.915,5.411,240.234,97.275
0.310,99.915,2.640,213.867,99.123
0.320,99.915,0.792,188.965,100.575
0.330,99.915,-0.660,171.387,101.630
0.340,99.915,-1.716,153.809,102.290
0.350,99.915,-2.376,152.344,102.950
0.360,99.915,-3.036,145.508,103.346
0.370,99.915,-3.432,136.230,103.742
0.380,99.915,-3.828,129.395,104.006
0.390,99.915,-4.092,134.277,104.138
0.400,99.915,-4.224,132.813,104.270
0.410,99.915,-4.356,128.418,104.402
0.420,99.915,-4.488,125.488,104.402
0.430,99.915,-4.488,120.117,104.402
0.440,99.915,-4.488,119.629,104.534
0.450,99.915,-4.620,127.441,104.402
0.460,99.915,-4.488,120.605,104.402
0.470,99.915,-4.488,125.000,104.006
0.480,99.915,-4.092,119.629,104.534
0.490,99.915,-4.620,117.676,104.534
0.500,99.915,-4.620,128.418,104.402
0.510,99.915,-4.488,123.047,104.534
0.520,99.915,-4.620,122.070,104.534
0.530,99.915,-4.620,119.141,104.534
0.540,99.915,-4.620,128.906,104.534
0.550,99.915,-4.620,126.953,104.402
0.560,99.915,-4.488,126.953,104.006
0.570,99.915,-4.092,127.441,103.874
0.580,99.915,-3.960,126.953,104.534
0.590,99.915,-4.620,132.813,104.270
0.600,99.915,-4.356,133.789,104.006
0.610,99.915,-4.092,134.277,104.138
0.620,99.915,-4.224,132.813,103.346
0.630,99.915,-3.432,136.719,103.874
0.640,99.915,-3.960,145.020,103.610
0.650,99.915,-3.696,139.160,103.742
0.660,99.915,-3.828,137.207,103.610
0.670,99.915,-3.696,134.766,103.610
0.680,99.915,-3.696,141.602,103.610
0.690,99.915,-3.696,143.555,102.818
0.700,99.915,-2.904,143.555,103.478
0.710,99.915,-3.564,143.066,103.346
0.720,99.915,-3.432,141.113,103.346
0.730,99.915,-3.432,144.043,103.478
0.740,99.915,-3.564,140.625,103.478
0.750,99.915,-3.564,139.648,103.610
0.760,99.915,-3.696,139.160,103.610
0.770,99.915,-3.696,137.207,103.610
0.780,99.915,-3.696,142.090,103.610
0.790,99.915,-3.696,137.207,103.610
0.800,99.915,-3.696,133.789,103.874
0.810,99.915,-3.960,125.488,103.874
0.820,99.915,-3.960,130.371,104.006
0.830,99.915,-4.092,128.418,103.478
0.840,99.915,-3.564,125.977,104.138
0.850,99.915,-4.224,124.023,104.270
0.860,99.915,-4.356,118.652,104.270
0.870,99.915,-4.356,120.117,104.270
0.880,99.915,-4.356,118.652,104.270
0.890,99.915,-4.356,121.582,104.402
0.900,99.915,-4.488,121.094,104.402
0.910,99.915,-4.488,122.070,104.534
0.920,99.915,-4.620,122.559,104.270
0.930,99.915,-4.356,123.047,104.270
0.940,99.915,-4.356,122.070,104.402
0.950,99.915,-4.488,120.117,103.742
0.960,99.915,-3.828,121.094,104.270
0.970,99.915,-4.356,124.512,104.138
0.980,99.915,-4.224,122.559,104.270
0.990,99.915,-4.356,124.512,104.270
1.000,0.000,-4.356,120.605,104.138
1.010,0.000,-104.138,125.488,104.006
1.020,0.000,-104.006,-689.941,102.554
1.030,0.000,-102.554,-12.695,91.203
1.040,0.000,-91.203,-12.207,83.812
1.050,0.000,-83.812,-32.715,82.096
1.060,0.000,-82.096,-149.414,78.665
1.070,0.000,-78.665,-164.063,72.989
1.080,0.000,-72.989,-131.348,67.314
1.090,0.000,-67.314,-115.723,62.430
1.100,0.000,-62.430,-123.535,57.679
1.110,0.000,-57.679,-132.324,52.003
1.120,0.000,-52.003,-127.930,46.328
1.130,0.000,-46.328,-130.371,41.312
1.140,0.000,-41.312,-136.230,36.561
1.150,0.000,-36.561,-131.348,31.941
1.160,0.000,-31.941,-131.348,26.925
1.170,0.000,-26.925,-111.328,22.306
1.180,0.000,-22.306,-108.887,17.686
1.190,0.000,-17.686,-104.492,12.803
1.200,0.000,-12.803,-111.328,8.579
1.210,0.000,-8.579,-69.336,4.224
1.220,0.000,-4.224,-61.523,0.396
1.230,0.000,-0.396,-68.359,-1.320
1.240,0.000,1.320,-99.121,-1.188
1.250,0.000,1.188,-131.836,-1.716
1.260,0.000,1.716,-135.742,-2.376
1.270,0.000,2.376,-125.000,-2.640
1.280,0.000,2.640,-126.465,-3.432
1.290,0.000,3.432,-108.887,-4.092
1.300,0.000,4.092,-114.258,-3.960
1.310,0.000,3.960,-136.719,-4.488
1.320,0.000,4.488,-118.652,-4.620
1.330,0.000,4.620,-122.070,-4.884
1.340,0.000,4.884,-112.793,-4.752
1.350,0.000,4.752,-125.000,-5.016
1.360,0.000,5.016,-111.328,-5.016
1.370,0.000,5.016,-115.723,-4.884
1.380,0.000,4.884,-115.234,-4.620
1.390,0.000,4.620,-124.512,-4.620
1.400,0.000,4.620,-113.281,-4.224
1.410,0.000,4.224,-119.141,-4.356
1.420,0.000,4.356,-112.305,-4.224
1.430,0.000,4.224,-108.398,-4.356
1.440,0.000,4.356,-104.492,-4.224
1.450,0.000,4.224,-105.957,-4.224
1.460,0.000,4.224,-105.957,-4.092
1.470,0.000,4.092,-105.469,-3.696
1.480,0.000,3.696,-111.328,-3.696
1.490,0.000,3.696,-106.934,-3.300
1.500,0.000,3.300,-106.934,-3.300
1.510,0.000,3.300,-104.492,-3.168
1.520,0.000,3.168,-104.980,-2.376
1.530,0.000,2.376,-112.793,-1.848
1.540,0.000,1.848,-115.234,-1.716
1.550,0.000,1.716,-112.305,-1.188
1.560,0.000,1.188,-115.234,-0.528
1.570,0.000,0.528,-117.676,0.000
1.580,0.000,0.000,-119.141,0.000
1.590,0.000,0.000,-113.281,0.000
1.600,0.000,0.000,-114.258,0.000
1.610,0.000,0.000,-105.957,0.000
1.620,0.000,0.000,-108.398,0.000
1.630,0.000,0.000,-108.887,0.000
1.640,0.000,0.000,-112.793,0.000
1.650,0.000,0.000,-114.258,0.000
1.660,0.000,0.000,-108.887,0.000
1.670,0.000,0.000,-110.840,0.000
1.680,0.000,0.000,-114.258,0.000
1.690,0.000,0.000,-109.863,0.000
1.700,0.000,0.000,-113.770,0.000
1.710,0.000,0.000,-108.887,0.000
1.720,0.000,0.000,-108.398,0.000
1.730,0.000,0.000,-109.375,0.000
1.740,0.000,0.000,-110.840,0.000
1.750,0.000,0.000,-107.422,0.000
1.760,0.000,0.000,-112.305,0.000
1.770,0.000,0.000,-104.492,0.000
1.780,0.000,0.000,-112.793,0.000
1.790,0.000,0.000,-109.863,0.000
1.800,0.000,0.000,-109.375,0.000
1.810,0.000,0.000,-110.352,0.000
1.820,0.000,0.000,-109.863,0.000
1.830,0.000,0.000,-108.887,0.000
1.840,0.000,0.000,-111.816,0.000
1.850,0.000,0.000,-106.934,0.000
1.860,0.000,0.000,-110.840,0.000
1.870,0.000,0.000,-108.398,0.000
1.880,0.000,0.000,-110.352,0.000
1.890,0.000,0.000,-104.980,0.000
1.900,0.000,0.000,-113.770,0.000
1.910,0.000,0.000,-110.840,0.000
1.920,0.000,0.000,-112.305,0.000
1.930,0.000,0.000,-107.910,0.000
1.940,0.000,0.000,-114.746,0.000
1.950,0.000,0.000,-111.816,0.000
1.960,0.000,0.000,-113.770,0.000
1.970,0.000,0.000,-108.887,0.000
1.980,0.000,0.000,-108.887,0.000
1.990,0.000,0.000,-109.863,0.000
2.000,0.000,0.000,-105.957,0.000
2.010,0.000,0.000,-109.863,0.000
2.020,0.000,0.000,-102.051,0.000
2.030,0.000,0.000,-111.328,0.000
2.040,0.000,0.000,-107.910,0.000
2.050,0.000,0.000,-110.840,0.000
2.060,0.000,0.000,-109.863,0.000
2.070,0.000,0.000,-108.398,0.000
2.080,0.000,0.000,-103.027,0.000
2.090,0.000,0.000,-108.398,0.000
2.100,0.000,0.000,-111.328,0.000
2.110,0.000,0.000,-105.957,0.000
2.120,0.000,0.000,-104.492,0.000
2.130,0.000,0.000,-110.840,0.000
