Temps,Sortie Reg.,I moteur,position,accélération,vitesse
s,mA,mA,mm,mm/s²,mm/s
0.000,0.000,-19.043,22.483,0.000,-0.132
0.010,0.000,-18.555,22.483,0.000,0.132
0.020,0.000,3.418,22.483,5.407,0.000
0.030,0.000,26.367,22.483,-2.703,-0.132
0.040,0.000,18.066,22.484,-5.407,0.000
0.050,0.000,-13.672,22.483,2.703,-0.132
0.060,0.000,-11.719,22.484,0.000,0.000
0.070,0.000,-16.113,22.483,-5.407,-0.132
0.080,0.000,-20.508,22.483,5.407,0.000
0.090,0.000,-13.672,22.483,-2.703,0.000
0.100,199.707,192.871,22.492,18.923,0.660
0.110,199.707,193.848,22.522,59.472,3.036
0.120,199.707,203.613,22.572,105.428,5.016
0.130,199.707,195.801,22.647,140.570,7.523
0.140,199.707,202.148,22.743,151.384,9.767
0.150,199.707,194.824,22.859,189.230,11.879
0.160,199.707,207.031,22.989,159.493,13.331
0.170,199.707,194.336,23.136,159.493,15.047
0.180,199.707,199.707,23.302,145.977,16.762
0.190,199.707,208.496,23.486,156.790,18.874
0.200,199.707,202.637,23.684,135.164,20.194
0.210,199.707,201.660,23.897,135.164,21.646
0.220,199.707,199.219,24.125,127.054,23.362
0.230,199.707,196.289,24.370,143.274,25.078
0.240,199.707,202.148,24.633,132.461,26.793
0.250,199.707,197.266,24.910,132.461,28.377
0.260,199.707,205.566,25.200,127.054,29.565
0.270,199.707,197.754,25.505,124.351,31.149
0.280,199.707,203.125,25.826,124.351,32.733
0.290,199.707,198.730,26.161,127.054,34.185
0.300,199.707,197.266,26.509,113.538,35.505
0.310,199.707,197.754,26.871,121.648,37.089
0.320,199.707,199.707,27.248,118.944,38.408
0.330,199.707,198.242,27.636,116.241,39.728
0.340,199.707,197.754,28.038,108.131,41.048
0.350,199.707,201.660,28.455,118.944,42.632
0.360,199.707,193.359,28.885,113.538,43.952
0.370,199.707,197.266,29.329,116.241,45.404
0.380,199.707,203.125,29.786,113.538,46.856
0.390,199.707,195.801,30.257,118.944,48.175
0.400,199.707,198.242,30.742,113.538,49.627
0.410,199.707,199.707,31.243,118.944,51.211
0.420,199.707,200.684,31.757,118.944,52.531
0.430,199.707,204.102,32.285,118.944,54.115
0.440,199.707,193.848,32.830,118.944,55.567
0.450,199.707,197.266,33.390,129.757,57.283
0.460,199.707,201.172,33.965,124.351,58.866
0.470,199.707,200.195,34.553,127.054,60.186
0.480,199.707,200.195,35.157,121.648,61.770
0.490,199.707,198.242,35.777,127.054,63.354
0.500,199.707,200.684,36.410,124.351,64.674
0.510,199.707,201.172,37.059,121.648,66.390
0.520,199.707,198.730,37.722,124.351,67.842
0.530,199.707,203.613,38.401,129.757,69.425
0.540,199.707,204.102,39.096,121.648,71.009
0.550,199.707,202.148,39.804,132.461,72.593
0.560,199.707,195.801,40.529,127.054,74.177
0.570,199.707,194.824,41.269,129.757,75.761
0.580,199.707,196.777,42.025,127.054,77.213
0.590,199.707,205.078,42.795,129.757,78.929
0.600,199.707,202.148,43.581,127.054,80.380
0.610,199.707,201.172,44.382,129.757,81.964
0.620,199.707,199.219,45.197,121.648,83.416
0.630,199.707,197.266,46.027,127.054,84.868
0.640,199.707,204.590,46.868,108.131,85.792
0.650,199.707,195.313,47.728,127.054,88.036
0.660,199.707,195.801,48.603,124.351,89.488
0.670,199.707,203.613,49.492,135.164,90.939
0.680,199.707,196.777,50.395,108.131,92.391
0.690,199.707,201.172,51.313,137.867,93.975
0.700,199.707,205.566,52.245,121.648,95.427
0.710,199.707,206.543,53.192,124.351,97.011
0.720,199.707,194.824,54.153,118.944,98.331
0.730,199.707,197.754,55.126,118.944,99.651
0.740,199.707,180.176,56.112,108.131,100.839
0.750,199.707,162.109,57.105,105.428,101.894
0.760,199.707,149.902,58.106,86.505,102.554
0.770,199.707,151.367,59.111,67.582,102.818
0.780,199.707,146.484,60.119,54.066,103.346
0.790,199.707,145.020,61.127,29.736,102.950
0.800,199.707,137.695,62.138,32.439,103.742
0.810,199.707,142.090,63.150,10.813,103.610
0.820,199.707,139.160,64.163,27.033,103.742
0.830,199.707,137.207,65.175,-8.110,103.742
0.840,199.707,138.672,66.187,18.923,103.742
0.850,199.707,140.625,67.199,-5.407,103.610
0.860,199.707,143.555,68.206,-13.516,102.950
0.870,199.707,140.137,69.216,-5.407,103.478
0.880,199.707,144.043,70.225,-5.407,103.346
0.890,199.707,144.531,71.232,-5.407,102.818
0.900,199.707,142.090,72.241,-16.220,103.346
0.910,199.707,145.508,73.249,5.407,103.082
0.920,199.707,147.949,74.257,5.407,103.214
0.930,199.707,147.949,75.264,-13.516,103.214
0.940,199.707,142.578,76.271,13.516,103.214
0.950,199.707,146.484,77.276,-16.220,102.686
0.960,199.707,142.578,78.286,5.407,103.346
0.970,199.707,143.555,79.296,5.407,103.478
0.980,199.707,141.113,80.303,13.516,103.346
0.990,199.707,131.836,81.313,-8.110,103.478
1.000,199.707,135.742,82.322,10.813,103.346
1.010,199.707,145.020,83.332,2.703,103.346
1.020,199.707,143.066,84.340,0.000,103.610
1.030,199.707,138.184,85.350,8.110,103.610
1.040,199.707,129.883,86.363,5.407,103.742
1.050,199.707,127.930,87.378,2.703,103.742
1.060,199.707,127.930,88.392,10.813,103.874
1.070,199.707,129.883,89.409,5.407,104.006
1.080,199.707,123.535,90.422,0.000,103.610
1.090,199.707,125.977,91.439,5.407,104.138
1.100,199.707,120.117,92.458,8.110,104.270
1.110,199.707,125.977,93.475,13.516,104.138
1.120,199.707,125.000,94.491,-5.407,104.270
1.130,199.707,119.629,95.508,10.813,104.270
1.140,199.707,118.652,96.526,5.407,104.270
1.150,199.707,124.023,97.543,-5.407,104.138
1.160,199.707,128.906,98.562,2.703,104.270
1.170,199.707,123.535,99.578,-2.703,104.138
1.180,199.707,126.953,100.593,-10.813,103.610
1.190,199.707,127.441,101.610,-8.110,104.006
1.200,199.707,124.023,102.624,-10.813,103.478
1.210,199.707,125.977,103.640,5.407,104.006
1.220,199.707,123.047,104.655,-10.813,104.006
1.230,199.707,125.000,105.667,18.923,104.006
1.240,199.707,130.371,106.678,-27.033,103.214
1.250,199.707,130.859,107.691,5.407,103.742
