Temps,vitesse,I moteur,accélération,position,U moteur,Sortie Reg.
s,mm/s,mA,mm/s²,mm,V,mA
0.000,0.000,-5.371,2.703,22.670,-0.033,0.000
0.010,0.000,16.602,-2.703,22.670,0.228,0.000
0.020,0.000,-21.484,2.703,22.670,0.488,0.000
0.030,-0.132,-24.414,-2.703,22.670,0.532,0.000
0.040,0.000,-7.324,0.000,22.670,-0.033,0.000
0.050,0.000,-5.859,0.000,22.670,0.163,0.000
0.060,-0.132,23.438,0.000,22.670,-0.532,0.000
0.070,0.132,20.996,0.000,22.670,-0.033,0.000
0.080,0.000,-21.484,2.703,22.670,0.477,0.000
0.090,0.000,-5.371,2.703,22.670,-0.152,0.000
0.100,1.320,187.988,21.626,22.680,1.812,199.707
0.110,3.564,196.777,78.395,22.714,2.159,199.707
0.120,5.939,205.566,118.944,22.772,2.919,199.707
0.130,8.051,210.449,137.867,22.849,3.136,199.707
0.140,10.031,197.266,159.493,22.947,3.819,199.707
0.150,12.011,199.707,170.307,23.063,4.340,199.707
0.160,13.595,194.824,162.197,23.196,4.503,199.707
0.170,15.575,204.590,156.790,23.348,5.111,199.707
0.180,17.686,207.031,156.790,23.519,5.404,199.707
0.190,19.138,200.684,154.087,23.705,5.447,199.707
0.200,20.590,200.684,135.164,23.905,5.794,199.707
0.210,22.306,203.613,135.164,24.122,6.543,199.707
0.220,23.890,194.336,140.570,24.356,7.096,199.707
0.230,25.606,209.473,132.461,24.605,7.151,199.707
0.240,27.321,194.824,132.461,24.872,7.411,199.707
0.250,28.773,201.660,135.164,25.151,7.921,199.707
0.260,30.357,201.172,129.757,25.447,8.312,199.707
0.270,31.941,200.684,129.757,25.758,8.713,199.707
0.280,33.393,198.730,129.757,26.084,8.822,199.707
0.290,34.845,199.707,121.648,26.424,9.093,199.707
0.300,36.297,199.219,121.648,26.777,9.223,199.707
0.310,37.616,193.848,118.944,27.144,10.059,199.707
0.320,39.068,200.195,116.241,27.525,10.048,199.707
0.330,40.256,200.684,110.834,27.918,10.156,199.707
0.340,41.708,191.406,113.538,28.325,10.786,199.707
0.350,43.292,199.707,113.538,28.748,11.198,199.707
0.360,44.612,201.660,118.944,29.183,11.404,199.707
0.370,45.932,195.801,110.834,29.632,11.730,199.707
0.380,47.516,202.148,116.241,30.095,12.001,199.707
0.390,48.835,195.801,118.944,30.572,12.500,199.707
0.400,50.419,198.242,118.944,31.064,12.684,199.707
0.410,52.003,199.219,118.944,31.571,13.053,199.707
0.420,53.455,193.848,127.054,32.091,13.162,199.707
0.430,54.907,202.148,118.944,32.627,13.411,199.707
0.440,56.359,199.219,121.648,33.177,14.106,199.707
0.450,57.943,205.566,124.351,33.743,14.334,199.707
0.460,59.262,197.266,118.944,34.322,14.768,199.707
0.470,60.846,198.730,121.648,34.916,14.876,199.707
