Temps,Consigne,Mesure,I moteur,U moteur,position,accélération,vitesse,Mes. Num. Vit.,Mes. Vitesse,S. Action D.,S. Action I.,S. Action P.,Ecart
s,mm/s,mm/s,mA,V,mm,mm/s²,mm/s,inc,mm/s,mm/s,mm/s,mm/s,mm/s
0.000,0.000,0.000,-10.254,0.174,24.097,-2.703,0.000,0.000,0.000,0.792,-0.132,0.132,0.132
0.010,0.000,0.000,29.785,-0.532,24.097,2.703,0.000,0.000,0.000,-0.396,-0.132,0.000,0.000
0.020,0.000,0.132,-3.906,0.228,24.097,-2.703,-0.132,-1.000,-0.132,-0.132,-0.132,0.000,0.000
0.030,0.000,0.000,-16.602,0.434,24.098,0.000,0.132,1.000,0.132,0.528,0.000,0.132,0.132
0.040,0.000,-0.132,29.785,-0.467,24.097,2.703,0.000,0.000,0.000,-1.056,-0.132,-0.132,-0.132
0.050,0.000,0.132,7.813,-0.109,24.097,0.000,-0.132,-1.000,-0.132,0.264,-0.132,0.000,0.000
0.060,0.000,0.000,-35.645,0.488,24.097,-5.407,0.000,0.000,0.000,0.528,0.000,0.132,0.132
0.070,0.000,0.000,15.625,-0.477,24.098,8.110,0.132,1.000,0.132,-0.528,0.000,0.000,0.000
0.080,0.000,-0.132,20.996,-0.076,24.098,2.703,0.132,1.000,0.132,-0.792,-0.132,-0.132,-0.132
0.090,0.000,-0.132,-1.953,0.293,24.097,-2.703,0.000,0.000,0.000,-0.264,-0.132,-0.132,-0.132
0.100,149.938,0.000,580.078,2.810,24.115,72.989,3.564,27.000,3.564,662.842,14.783,149.938,149.938
0.110,149.938,7.391,486.328,6.011,24.206,232.482,11.351,86.000,11.351,158.253,29.433,146.374,146.374
0.120,149.938,15.179,506.836,7.368,24.375,397.382,19.402,147.000,19.402,7.127,43.292,138.587,138.587
0.130,149.938,23.230,481.445,9.191,24.618,467.667,26.530,201.000,26.530,-33.789,56.227,130.536,130.536
0.140,149.938,30.093,457.520,10.655,24.927,521.733,33.261,252.000,33.261,-40.388,68.502,123.408,123.408
0.150,149.938,36.429,425.781,11.730,25.299,575.798,39.728,301.000,39.728,-40.388,80.116,116.677,116.677
0.160,149.938,42.764,402.832,12.804,25.731,556.875,45.668,346.000,45.668,-39.200,91.071,110.210,110.210
0.170,149.938,48.571,384.766,14.128,26.218,513.623,51.211,388.000,51.211,-36.561,101.498,104.270,104.270
0.180,149.938,53.719,364.746,15.017,26.754,473.074,56.095,425.000,56.095,-34.185,111.398,98.727,98.727
0.190,149.938,58.470,339.355,16.102,27.336,440.634,60.714,460.000,60.714,-30.621,120.637,93.843,93.843
0.200,149.938,62.694,333.008,16.113,27.959,402.789,64.938,492.000,64.938,-28.509,129.612,89.224,89.224
0.210,149.938,66.786,308.105,17.296,28.622,375.756,68.898,522.000,68.898,-26.266,138.059,85.000,85.000
0.220,149.938,70.613,301.270,17.893,29.320,340.613,72.461,549.000,72.461,-24.418,146.110,81.040,81.040
0.230,149.938,74.045,287.598,18.815,30.051,313.580,75.629,573.000,75.629,-22.174,153.898,77.477,77.477
0.240,149.938,77.345,267.578,19.423,30.813,289.251,78.797,597.000,78.797,-19.930,161.289,74.309,74.309
0.250,149.938,80.380,260.254,19.857,31.604,267.625,81.568,618.000,81.568,-19.270,168.284,71.141,71.141
0.260,149.938,83.020,257.324,20.378,32.421,251.405,84.340,639.000,84.340,-17.422,175.148,68.370,68.370
0.270,149.938,85.528,241.211,20.855,33.263,229.779,86.848,658.000,86.848,-16.894,181.615,65.598,65.598
0.280,149.938,88.036,232.910,21.126,34.127,216.262,88.960,674.000,88.960,-15.575,187.950,63.090,63.090
0.290,149.938,90.016,222.656,21.756,35.011,194.636,91.071,690.000,91.071,-13.463,194.022,60.978,60.978
0.300,149.938,91.863,218.750,21.962,35.913,181.120,92.919,704.000,92.919,-12.935,199.829,58.866,58.866
0.310,149.938,93.315,212.402,22.190,36.832,170.307,94.767,718.000,94.767,-11.615,205.505,57.019,57.019
0.320,149.938,95.559,198.242,22.201,37.768,148.680,96.219,729.000,96.219,-11.219,211.048,55.171,55.171
0.330,149.938,97.143,196.289,22.211,38.721,145.977,97.935,742.000,97.935,-9.371,216.460,53.719,53.719
0.340,149.938,97.935,193.848,22.211,39.683,129.757,99.255,752.000,99.255,-10.163,221.607,52.003,52.003
0.350,149.938,99.783,189.453,22.211,40.661,124.351,100.443,761.000,100.443,-8.579,226.623,50.683,50.683
0.360,149.938,100.970,184.082,22.211,41.649,102.725,101.498,769.000,101.498,-7.523,231.638,49.495,49.495
0.370,149.938,102.026,163.086,22.211,42.648,100.021,102.422,776.000,102.422,-6.731,236.390,48.439,48.439
0.380,149.938,102.818,149.902,22.211,43.653,81.098,103.082,781.000,103.082,-5.939,241.141,47.516,47.516
0.390,149.938,103.346,146.973,22.211,44.663,64.879,103.478,784.000,103.478,-4.488,245.761,46.856,46.856
0.400,149.938,103.610,140.137,22.211,45.676,51.362,103.874,787.000,103.874,-3.036,250.380,46.460,46.460
0.410,149.938,104.006,135.254,22.211,46.692,40.549,104.138,789.000,104.138,-2.640,255.000,46.064,46.064
0.420,149.938,104.270,129.395,22.211,47.711,32.439,104.402,791.000,104.402,-1.980,259.620,45.800,45.800
0.430,149.938,104.402,128.906,22.211,48.730,18.923,104.402,791.000,104.402,-1.716,264.107,45.536,45.536
0.440,149.938,104.534,125.977,22.211,49.752,18.923,104.666,793.000,104.666,-0.528,268.595,45.536,45.536
0.450,149.938,104.798,125.977,22.211,50.775,13.516,104.798,794.000,104.798,-1.320,273.214,45.272,45.272
0.460,149.938,104.930,119.141,22.211,51.799,13.516,104.798,794.000,104.798,-1.056,277.702,45.140,45.140
0.470,149.938,104.930,119.629,22.211,52.824,5.407,104.930,795.000,104.930,-0.396,282.189,45.140,45.140
0.480,149.938,105.458,120.117,22.211,53.849,-2.703,104.402,791.000,104.402,-0.792,286.677,45.008,45.008
0.490,149.938,105.062,117.188,22.211,54.874,8.110,105.062,796.000,105.062,2.112,291.165,45.536,45.536
0.500,149.938,105.062,119.629,22.211,55.900,2.703,105.062,796.000,105.062,-2.376,295.652,44.876,44.876
0.510,149.938,104.534,117.188,22.211,56.924,18.923,105.194,797.000,105.194,-0.660,300.140,44.876,44.876
0.520,149.938,105.062,115.723,22.211,57.951,-8.110,105.194,797.000,105.194,-0.792,304.627,44.744,44.744
0.530,149.938,105.194,117.188,22.211,58.975,2.703,104.534,792.000,104.534,-0.264,308.983,44.744,44.744
0.540,149.938,104.666,116.699,22.211,60.000,0.000,105.194,797.000,105.194,2.772,313.602,45.404,45.404
0.550,149.938,104.798,119.141,22.211,61.025,2.703,105.194,797.000,105.194,-2.244,317.958,44.744,44.744
0.560,149.938,105.326,116.699,22.211,62.050,2.703,104.666,793.000,104.666,-0.660,322.446,44.744,44.744
0.570,149.938,105.326,113.770,22.211,63.079,-10.813,105.326,798.000,105.326,2.112,326.933,45.272,45.272
0.580,149.938,105.194,118.164,22.211,64.106,13.516,105.194,797.000,105.194,-2.376,331.421,44.612,44.612
0.590,149.938,105.194,119.141,22.211,65.133,10.813,105.194,797.000,105.194,-0.132,335.908,44.744,44.744
0.600,149.938,105.194,118.652,22.211,66.158,-24.330,104.666,793.000,104.666,0.000,340.264,44.744,44.744
0.610,149.938,104.666,118.652,22.211,67.182,13.516,105.194,797.000,105.194,2.244,344.884,45.272,45.272
0.620,149.938,105.194,119.141,22.211,68.207,-13.516,104.666,793.000,104.666,-1.848,349.239,44.744,44.744
0.630,149.938,105.062,118.164,22.211,69.234,10.813,105.194,797.000,105.194,1.716,353.859,45.272,45.272
0.640,149.938,104.666,117.676,22.211,70.258,-13.516,105.062,796.000,105.062,-1.980,358.214,44.744,44.744
0.650,149.938,105.194,120.605,22.211,71.284,16.220,104.930,795.000,104.930,0.000,362.702,44.876,44.876
0.660,149.938,105.062,117.676,22.211,72.307,-24.330,104.534,792.000,104.534,0.528,367.189,45.008,45.008
0.670,149.938,104.798,121.582,22.211,73.331,8.110,104.930,795.000,104.930,1.848,371.677,45.404,45.404
0.680,149.938,104.402,119.629,22.211,74.354,0.000,105.062,796.000,105.062,-1.320,376.165,45.008,45.008
0.690,149.938,104.930,122.559,22.211,75.378,2.703,104.798,794.000,104.798,-1.056,380.652,44.876,44.876
0.700,149.938,104.930,119.141,22.211,76.400,-18.923,104.402,791.000,104.402,0.792,385.140,45.140,45.140
