Temps,Consigne,Ecart,I moteur,vitesse
s,mm/s,mm/s,mA,mm/s
0.000,0.000,0.000,-6.348,0.000
0.010,0.000,0.000,13.672,0.000
0.020,0.000,0.000,15.137,0.000
0.030,0.000,0.000,0.000,0.000
0.040,0.000,0.000,-14.160,0.000
0.050,0.000,0.000,13.184,0.132
0.060,0.000,-0.132,16.113,0.000
0.070,0.000,0.000,-1.465,0.000
0.080,0.000,0.000,-17.090,0.000
0.090,0.000,0.000,-0.488,0.000
0.100,99.915,99.915,512.207,3.564
0.110,99.915,96.351,470.703,11.087
0.120,99.915,88.828,520.020,18.346
0.130,99.915,81.568,498.535,25.870
0.140,99.915,74.045,495.117,33.261
0.150,99.915,66.654,489.746,39.992
0.160,99.915,59.922,434.082,46.856
0.170,99.915,53.059,393.555,52.531
0.180,99.915,47.384,352.539,57.019
0.190,99.915,42.896,315.918,60.846
0.200,99.915,39.068,287.109,64.014
0.210,99.915,35.901,275.391,66.918
0.220,99.915,32.997,241.699,69.161
0.230,99.915,30.753,230.469,71.405
0.240,99.915,28.509,214.355,72.989
0.250,99.915,26.925,194.824,74.573
0.260,99.915,25.342,192.871,75.893
0.270,99.915,24.022,182.129,76.817
0.280,99.915,23.098,178.711,77.609
0.290,99.915,22.306,171.875,78.533
0.300,99.915,21.382,165.039,79.325
0.310,99.915,20.590,151.367,79.852
0.320,99.915,20.062,147.949,80.380
0.330,99.915,19.534,143.555,80.908
0.340,99.915,19.006,139.160,81.304
0.350,99.915,18.610,137.695,81.700
0.360,99.915,18.214,130.371,81.964
0.370,99.915,17.950,132.324,82.096
0.380,99.915,17.818,134.766,82.492
0.390,99.915,17.422,132.813,82.624
0.400,99.915,17.290,125.000,82.756
0.410,99.915,17.158,127.930,82.888
0.420,99.915,17.026,127.930,83.152
0.430,99.915,16.762,122.559,83.284
0.440,99.915,16.630,122.070,83.152
0.450,99.915,16.762,121.582,83.284
0.460,99.915,16.630,121.582,83.020
0.470,99.915,16.894,127.441,83.020
0.480,99.915,16.894,122.070,83.152
0.490,99.915,16.762,125.977,83.284
0.500,99.915,16.630,124.512,83.416
0.510,99.915,16.498,122.070,83.680
0.520,99.915,16.234,117.188,83.680
0.530,99.915,16.234,113.770,83.548
0.540,99.915,16.366,123.047,83.548
0.550,99.915,16.366,121.582,83.548
0.560,99.915,16.366,120.605,83.680
0.570,99.915,16.234,118.164,83.680
0.580,99.915,16.234,120.117,83.548
0.590,99.915,16.366,119.141,83.548
0.600,99.915,16.366,122.559,83.548
0.610,99.915,16.366,121.094,83.416
0.620,99.915,16.498,122.559,83.416
0.630,99.915,16.498,120.605,82.888
0.640,99.915,17.026,124.023,83.152
0.650,99.915,16.762,130.371,83.284
0.660,99.915,16.630,124.512,83.152
0.670,99.915,16.762,120.605,82.888
0.680,99.915,17.026,129.395,82.756
0.690,99.915,17.158,130.859,82.492
0.700,99.915,17.422,128.906,82.360
0.710,99.915,17.554,125.977,82.228
0.720,99.915,17.686,130.859,81.964
0.730,99.915,17.950,133.789,81.964
0.740,99.915,17.950,128.906,81.964
0.750,99.915,17.950,128.418,81.700
0.760,99.915,18.214,131.836,81.700
0.770,99.915,18.214,144.531,81.700
0.780,99.915,18.214,134.277,81.436
0.790,99.915,18.478,135.254,81.304
0.800,99.915,18.610,139.648,81.040
0.810,99.915,18.874,139.648,80.776
0.820,99.915,19.138,166.992,81.040
0.830,99.915,18.874,135.742,81.172
0.840,99.915,18.742,138.672,81.700
0.850,99.915,18.214,135.742,81.436
0.860,99.915,18.478,137.695,81.436
0.870,99.915,18.478,137.207,81.700
0.880,99.915,18.214,127.441,81.700
0.890,99.915,18.214,141.602,81.832
0.900,99.915,18.082,136.230,81.964
0.910,99.915,17.950,133.789,82.096
0.920,99.915,17.818,134.277,82.228
0.930,99.915,17.686,127.441,82.492
0.940,99.915,17.422,132.324,82.756
0.950,99.915,17.158,131.836,83.020
0.960,99.915,16.894,122.070,83.284
