Position - Lacet;Vitesse - Lacet;Courant moteur - Lacet
PL04_256.CRB;VL04_256.CRB;CL04_256.CRB
4.862000;4.862000;4.862000
deg.;deg./s;A
-0,073136;0,000000;0,142479
-0,073136;0,000000;0,149933
-0,073136;0,000000;0,141905
-0,073136;0,000000;0,151653
-0,073136;0,000000;0,142479
-0,073136;0,000000;0,151079
-0,073136;0,000000;0,141332
-0,073136;0,000000;0,152226
-0,070554;0,000000;0,141332
-0,039639;2,829999;1,741568
0,017094;11,625424;1,742142
0,084172;13,343468;1,736981
0,151099;13,586857;1,740995
0,212372;12,880550;1,739848
0,265157;11,448848;1,742142
0,312711;9,759439;1,736408
0,359117;9,372879;1,740422
0,413151;10,174633;1,732395
0,479824;13,505727;1,740995
0,563304;16,101881;1,740422
0,664335;21,236921;1,740995
0,780334;23,470377;1,742142
0,907048;25,312501;1,741568
1,038471;27,102129;1,739848
1,170872;27,178486;1,741568
1,304336;27,273933;1,734115
1,440399;27,937289;1,740995
1,580782;28,533831;1,738702
1,727477;30,404589;1,740422
1,882963;31,702666;1,742142
2,046752;33,058011;1,742715
2,216211;34,871501;1,741568
2,389702;35,530084;1,736981
2,565759;36,026408;1,742715
2,742491;36,341382;1,738128
2,921991;36,656357;1,740995
3,107008;38,207368;1,741568
3,299872;39,409998;1,742715
3,503081;40,832156;1,741568
3,717529;44,177567;1,742142
3,941477;45,642676;1,736981
4,173036;46,926436;1,743288
4,407075;48,148156;1,736981
4,641739;48,229286;1,741568
4,874799;47,833181;1,736408
5,106409;47,594564;1,740995
5,339486;47,818864;1,738128
5,575517;48,563350;1,743288
5,819276;49,708712;1,738702
6,072013;51,035423;1,741568
6,334757;53,951323;1,733541
6,605584;55,273262;1,742715
6,882570;57,134475;1,736981
7,163404;57,711929;1,740995
7,446347;58,074627;1,734688
7,728615;58,007814;1,742142
8,011136;58,060310;1,739848
8,294889;58,189163;1,742142
8,582119;59,029095;1,742142
8,873668;59,601776;1,740422
9,171714;61,520257;1,735835
9,475869;62,364962;1,740422
9,785357;63,305113;1,731821
10,098557;64,479109;1,742142
10,415182;64,980205;1,741568
10,734204;65,395399;1,740995
11,054087;65,772414;1,742142
11,376602;66,130340;1,741568
11,702998;67,275702;1,742142
12,032972;67,767253;1,740995
12,367806;68,401974;1,742715
12,707820;69,972075;1,743288
13,052357;70,726105;1,739848
13,400437;71,189022;1,738702
13,752534;72,372563;1,742142
14,107146;72,825935;1,736408
14,462972;73,260218;1,739275
14,820705;73,565648;1,736408
15,180412;73,851988;1,741568
15,541858;74,396035;1,742715
15,907877;75,025985;1,741568
16,278317;75,760925;1,736981
16,653397;77,101953;1,740995
17,034030;77,951430;1,739848
17,418409;79,192239;1,741568
17,805690;79,554937;1,735835
18,196397;80,089439;1,740422
18,588099;80,547584;1,739275
18,981118;80,728933;1,742715
19,375926;81,062997;1,735261
19,771104;81,253890;1,742142
20,168359;81,478191;1,738128
20,568060;82,265627;1,740995
20,970866;82,714227;1,740422
21,378499;83,425306;1,742715
21,790637;84,761562;1,742142
22,207129;85,453551;1,742715
22,627671;86,116907;1,738702
23,050204;86,937750;1,742142
23,475538;87,305220;1,741568
23,902526;87,796771;1,739275
24,330561;87,968575;1,733541
24,760552;88,245371;1,740995
25,192046;88,794190;1,743288
25,627151;89,309603;1,740995
26,065462;89,906146;1,742142
26,507317;90,827208;1,740422
26,953982;91,538287;1,745009
27,403532;92,578657;1,737555
27,857166;93,175200;1,744435
28,313162;93,709702;1,745009
28,771757;94,358741;1,746155
29,232917;94,845520;1,683086
29,691917;94,840747;1,066155
30,135291;91,471474;0,480759
30,548745;87,333854;-0,631551
30,922830;75,703657;-1,138971
31,248399;68,325617;-1,611416
31,530870;61,300730;-1,654991
31,786189;52,257142;-1,653845
32,030826;50,572505;-1,644671
32,275513;50,095271;-1,654418
32,524959;51,278812;-1,640658
32,777882;51,861038;-1,653845
33,028189;51,297901;-1,634924
33,264675;49,198071;-1,653271
33,476085;45,866976;-1,637218
33,652665;36,007318;-1,653845
33,789741;30,103932;-1,634351
33,885557;23,957156;-1,653845
33,942493;11,959488;-1,632631
33,968616;7,234870;-1,654418
33,970168;-0,209983;-1,653271
33,961461;-1,765766;-1,652698
33,952179;-1,918481;-1,629764
33,943404;-1,794400;-1,654418
33,930748;-2,300269;-1,628044
33,908220;-3,469492;-1,652125
33,871247;-7,420991;-1,624030
33,819896;-9,778528;-1,654418
33,757594;-13,104850;-1,629191
33,689790;-13,839791;-1,652698
33,620349;-14,264529;-1,636071
33,550959;-14,274074;-1,654418
33,478836;-14,546098;-1,652698
33,398122;-15,600785;-1,652698
33,304669;-19,141863;-1,654418
33,193766;-21,551895;-1,653845
33,063592;-27,316884;-1,652125
32,915227;-30,046664;-1,652698
32,751084;-32,513964;-1,653845
32,577204;-35,811652;-1,649831
32,400759;-36,341382;-1,652698
32,227234;-36,136172;-1,637218
32,060728;-34,356088;-1,654991
31,900331;-33,339579;-1,636071
31,742128;-32,533054;-1,652698
31,580432;-33,024605;-1,635498
31,408307;-34,379950;-1,654418
31,220437;-38,813455;-1,633204
31,014697;-41,443016;-1,653845
30,792015;-44,110755;-1,613710
30,559123;-47,933400;-1,344806
30,329589;-47,818864;-0,840826
30,113842;-43,895999;-0,462985
29,918194;-40,779660;-0,173440
29,743622;-37,672866;0,294991
29,590076;-31,378147;0,528921
29,458603;-28,037508;0,884401
29,346604;-24,945030;1,044367
29,250652;-19,829080;1,177960
29,167661;-17,862875;1,377487
29,093040;-15,190364;1,512226
29,022756;-14,598593;1,607403
28,958074;-13,777751;1,743288
28,899787;-11,897448;1,736408
28,850782;-10,523014;1,741568
28,814079;-9,081766;1,732968
28,794555;-4,156710;1,742142
28,791484;-1,694181;1,736981
28,801727;2,438667;1,740422
28,826449;4,629171;1,742142
28,869193;7,168057;1,742142
28,928931;12,417633;1,739275
29,004902;14,966064;1,741568
29,095436;17,104073;1,708314
29,196332;20,740597;1,587909
29,301126;21,475538;1,368314
29,403557;20,907629;1,191720
29,498226;19,771812;1,061568
29,582837;18,230345;0,824772
29,658437;15,514883;0,720422
29,727574;14,393383;0,535801
29,793639;13,959100;0,449798
29,859131;13,453231;0,365514
29,924151;13,314833;0,242816
29,990216;13,539134;0,117825
30,057193;13,768206;0,061636
30,123984;13,739572;-0,138465
30,189527;13,410280;-0,229629
30,251694;13,047582;-0,386155
30,306859;12,140837;-0,469865
30,355104;10,036235;-0,567336
30,393900;8,552036;-0,653339
30,424157;6,017923;-0,687740
30,444373;4,505091;-0,735902
30,452389;2,639105;-0,766290
30,450735;-0,472462;-0,785211
30,444643;-1,111956;-0,780050
30,436341;-1,484198;-0,766864
